Customer Name,Date/Time,Branch,Payment Type,Drinks Ordered,Card Number
Fatima Yusuf,2025/05/27 20:30,Richmond,Cash,"Americano - £2.2, Espresso - £2.0",
Chinedu Okafor,12 Nov 2024 07:31,Richmond,Card,"Flat White - £2.75, Mocha - £3.75, Espresso - 2.0",640476831034440.0
Dave Johnson,2025/01/16 11:51,Richmond,Card,"Macchiato - 3.1, Cappuccino - £3.0",159048325603884.0
Grace Kim,19 May 2025 08:01,Richmond,Card,"Espresso - 2.0, Latte -  2.5 , Americano - £2.2",8.93290947761005e+16
Carlos Reyes,08-08-2024 23:44,Richmond,Card,Americano - 2.2,2.056077366578768e+16
Jake Thompson,18 Dec 2024 05:22,Richmond,Cash,"Latte - £2.5, Mocha - £3.75",
Oliver Twist,2024/07/28 11:21,Richmond,Cash,"Mocha - 3.75, Latte - 2.5, Flat White - £2.75",
Dave Johnson,2024/11/03 18:05,Richmond,Card,"Macchiato - £3.1, Flat White -  2.75 ",80126296716503.0
Fatima Yusuf,12-10-2024 23:40,Richmond,Card,"Americano - 2.2, Cappuccino - 3.0, Mocha - 3.75",9.23197175402927e+16
Aisha Bello,2025/01/01 02:08,Richmond,Card,"Americano - 2.2, Americano - £2.2, Latte - £2.5",169829215712166.0
Grace Kim,03-01-2025 21:28,Richmond,Cash,"Cappuccino - 3.0, Mocha - £3.75",
Sophie Dubois,2024/09/24 09:10,Richmond,Cash,"Macchiato -  3.1 , Macchiato -  3.1 , Latte - £2.5",
Carlos Reyes,2024/11/25 05:01,Richmond,Cash,"Mocha - £3.75, Macchiato - £3.1",
James Carter,2024/07/09 01:07,Richmond,Card,"Espresso - £2.0, Americano - 2.2",9.700147985671603e+16
Anna Smith,2024/08/25 10:25,Richmond,Cash,"Americano - 2.2, Mocha -  3.75 ",
Maria Lopez,2025/03/22 14:44,Richmond,Card,Mocha - 3.75,9.584795240316416e+16
Dave Johnson,2024/07/31 11:14,Richmond,Cash,"Americano - 2.2, Macchiato - 3.1",
Fatima Yusuf,2024/10/01 21:43,Richmond,Cash,"Mocha - £3.75, Flat White - 2.75, Macchiato - £3.1",
Aisha Bello,07-12-2024 12:36,Richmond,Card,"Mocha - 3.75, Espresso -  2.0 , Flat White - £2.75, Latte -  2.5 ",9.65888101287163e+16
James Carter,2025/05/05 06:08,Richmond,Cash,"Mocha - 3.75, Flat White - £2.75, Espresso - £2.0",
Carlos Reyes,19 Sep 2024 14:53,Richmond,Cash,"Macchiato - 3.1, Macchiato - £3.1, Mocha - 3.75",
Anna Smith,2024/07/04 20:56,Richmond,Cash,"Cappuccino -  3.0 , Flat White -  2.75 , Americano - £2.2",
James Carter,2024/07/04 20:56,Richmond,Card,"Espresso - £2.0, Latte -  2.5 ",6.20869687707476e+16
Leila Ahmed,2024/09/22 05:39,Richmond,Card,"Americano - £2.2, Espresso - 2.0",4709209002862419.0
Carlos Reyes,2024/08/26 07:03,Richmond,Cash,"Americano - £2.2, Cappuccino -  3.0 ",
Fatima Yusuf,2024/11/25 05:01,Richmond,Card,"Espresso - £2.0, Mocha - £3.75, Macchiato - £3.1",4709209002862419.0
Anna Smith,2024/08/25 10:25,Richmond,Cash,"Americano - 2.2, Mocha -  3.75 ",
Nina Patel,2024/10/03 16:58,Richmond,Card,"Macchiato - 3.1, Macchiato - £3.1, Cappuccino - 3.0",7959399123735735.0
Grace Kim,2024/08/24 07:27,Richmond,Cash,"Espresso - 2.0, Americano -  2.2 , Macchiato - £3.1",
Fatima Yusuf,2024/10/03 16:58,Richmond,Card,"Macchiato - 3.1, Macchiato - £3.1, Cappuccino - 3.0",7959399123735735.0
Maria Lopez,2024/08/21 12:46,Richmond,Card,"Latte - £2.5, Macchiato -  3.1 ",8.288748060700122e+16
Grace Kim,2024/09/03 22:07,Richmond,Cash,Latte - £2.5,
Anna Smith,2024/07/04 20:56,Richmond,Cash,"Cappuccino -  3.0 , Flat White -  2.75 , Americano - £2.2",
Grace Kim,2024/12/31 08:42,Richmond,Card,"Mocha - 3.75, Americano - 2.2, Macchiato - £3.1",8.061962755335803e+16
Carlos Reyes,2024/09/13 03:02,Richmond,Cash,"Americano - £2.2, Macchiato -  3.1 , Espresso -  2.0 ",
Carlos Reyes,2024/10/01 04:33,Richmond,Card,Mocha - £3.75,2697728842356509.0
Anna Smith,2024/08/25 10:25,Richmond,Cash,"Americano - 2.2, Mocha -  3.75 ",
Leila Ahmed,2024/09/22 05:39,Richmond,Card,"Americano - £2.2, Espresso - 2.0",4709209002862419.0
Fatima Yusuf,2024/07/24 12:05,Richmond,Card,"Flat White -  2.75 , Flat White - £2.75",171998149496829.0
Carlos Reyes,2024/07/10 12:50,Richmond,Cash,"Macchiato - £3.1, Espresso - £2.0, Espresso - 2.0",
Jake Thompson,2024/08/26 07:03,Richmond,Card,"Americano - £2.2, Cappuccino -  3.0 , Americano - 2.2",7.202856138581503e+16
,2025/05/27 20:30,Richmond,Cash,"Americano - £2.2, Espresso - £2.0",
Chinedu Okafor,12 Nov 2024 07:31,Richmond,Card,Americano - 2.2,640476831034440.0
Fatima Yusuf,12-10-2024 23:40,Richmond,Card,"Americano - 2.2, Cappuccino - 3.0, Mocha - 3.75",9.23197175402927e+16
Jake Thompson,18 Dec 2024 05:22,Richmond,Cash,"Latte - £2.5, Mocha - £3.75",
Carlos Reyes,2024/08/08 23:44,Richmond,Card,Americano - 2.2,2.056077366578768e+16
Sophie Dubois,2024/09/24 09:10,Richmond,Cash,"Macchiato -  3.1 , Macchiato -  3.1 , Latte - £2.5",
Maria Lopez,2025/03/22 14:44,Richmond,Card,Mocha - 3.75,9.584795240316416e+16
Grace Kim,19 May 2025 08:01,Richmond,Card,"Espresso - 2.0, Latte -  2.5 , Americano - £2.2",8.93290947761005e+16
Carlos Reyes,2024/11/25 05:01,Richmond,Cash,"Mocha - £3.75, Macchiato - £3.1",
Dave Johnson,2024/11/03 18:05,Richmond,Card,"Macchiato - £3.1, Flat White -  2.75 ",80126296716503.0
Oliver Twist,2024/07/28 11:21,Richmond,Cash,"Mocha - 3.75, Latte - 2.5, Flat White - £2.75",
Aisha Bello,07-12-2024 12:36,Richmond,Card,"Mocha - 3.75, Espresso -  2.0 , Flat White - £2.75, Latte -  2.5 ",9.65888101287163e+16
James Carter,2025/05/05 06:08,Richmond,Cash,"Mocha - 3.75, Flat White - £2.75, Espresso - £2.0",
Anna Smith,2024/07/04 20:56,Richmond,Cash,"Cappuccino -  3.0 , Flat White -  2.75 , Americano - £2.2",
James Carter,2024/07/04 20:56,Richmond,Card,"Espresso - £2.0, Latte -  2.5 ",6.20869687707476e+16
Carlos Reyes,2024/08/26 07:03,Richmond,Cash,"Americano - £2.2, Cappuccino -  3.0 ",
Fatima Yusuf,2024/11/25 05:01,Richmond,Card,"Espresso - £2.0, Mocha - £3.75, Macchiato - £3.1",4709209002862419.0
Anna Smith,2024/08/25 10:25,Richmond,Cash,"Americano - 2.2, Mocha -  3.75 ",
Nina Patel,2024/10/03 16:58,Richmond,Card,"Macchiato - 3.1, Macchiato - £3.1, Cappuccino - 3.0",7959399123735735.0
Grace Kim,2024/08/24 07:27,Richmond,Cash,"Espresso - 2.0, Americano -  2.2 , Macchiato - £3.1",
Maria Lopez,2024/08/21 12:46,Richmond,Card,"Latte - £2.5, Macchiato -  3.1 ",8.288748060700122e+16
Grace Kim,2024/09/03 22:07,Richmond,Cash,Latte - £2.5,
Anna Smith,2024/07/04 20:56,Richmond,Cash,"Cappuccino -  3.0 , Flat White -  2.75 , Americano - £2.2",
Grace Kim,2024/12/31 08:42,Richmond,Card,"Mocha - 3.75, Americano - 2.2, Macchiato - £3.1",8.061962755335803e+16
Carlos Reyes,2024/09/13 03:02,Richmond,Cash,"Americano - £2.2, Macchiato -  3.1 , Espresso -  2.0 ",
Carlos Reyes,2024/10/01 04:33,Richmond,Card,Mocha - £3.75,2697728842356509.0
Anna Smith,2024/08/25 10:25,Richmond,Cash,"Americano - 2.2, Mocha -  3.75 ",
Leila Ahmed,2024/09/22 05:39,Richmond,Card,"Americano - £2.2, Espresso - 2.0",4709209002862419.0
Fatima Yusuf,2024/07/24 12:05,Richmond,Card,"Flat White -  2.75 , Flat White - £2.75",171998149496829.0
Carlos Reyes,2024/07/10 12:50,Richmond,Cash,"Macchiato - £3.1, Espresso - £2.0, Espresso - 2.0",
Jake Thompson,2024/08/26 07:03,Richmond,Card,"Americano - £2.2, Cappuccino -  3.0 , Americano - 2.2",7.202856138581503e+16
Dave Johnson,2025/01/16 11:51,Richmond,Card,"Macchiato - 3.1, Cappuccino - £3.0",159048325603884X
Chinedu Okafor,12 Nov 2024 07:31,Richmond,Card,"Flat White - £2.75, Mocha - £3.75, Espresso - 2.0",640476831034440.0
Fatima Yusuf,,Richmond,Cash,"Americano - £2.2, Espresso - £2.0",
Jake Thompson,18 Dec 2024 05:22,Richmond,Cash,"Latte - £2.5, Mocha - £3.75",
Carlos Reyes,08-08-2024 23:44,Richmond,Card,Latte - 2.5,2.056077366578768e+16
Grace Kim,19 May 2025 08:01,Richmond,Card,"Espresso - 2.0, Latte -  2.5 , Americano - £2.2",8.93290947761005e+16
Dave Johnson,,Richmond,Card,"Macchiato - £3.1, Flat White -  2.75 ",80126296716503.0
Sophie Dubois,2024/09/24 09:10,Richmond,Cash,"Macchiato -  3.1 , Macchiato -  3.1 , Latte - £2.5",
Maria Lopez,2025/03/22 14:44,Richmond,Card,Mocha - 3.75,
Carlos Reyes,,Richmond,Cash,"Mocha - £3.75, Macchiato - £3.1",
Dave Johnson,2024/07/31 11:14,Richmond,Cash,"Americano - 2.2, Macchiato - 3.1",
Oliver Twist,2024/07/28 11:21,Richmond,Cash,"Mocha - 3.75, Latte - 2.5, Flat White - £2.75",
Aisha Bello,07-12-2024 12:36,Richmond,Card,Mocha - 3.75,9.65888101287163e+16
James Carter,2025/05/05 06:08,Richmond,Cash,Mocha £3.75,
Carlos Reyes,19 Sep 2024 14:53,Richmond,Cash,"Macchiato - 3.1, Macchiato - £3.1, Mocha - 3.75",
Anna Smith,2024/07/04 20:56,Richmond,Cash,"Cappuccino -  3.0 , Flat White -  2.75 , Americano - £2.2",
James Carter,2024/07/04 20:56,Richmond,Card,"Espresso - £2.0, Latte -  2.5 ",6.20869687707476e+16
Leila Ahmed,2024/09/22 05:39,Richmond,Card,"Americano - £2.2, Espresso - 2.0",
Carlos Reyes,2024/08/26 07:03,Richmond,Cash,"Americano - £2.2, Cappuccino -  3.0 ",
Fatima Yusuf,2024/11/25 05:01,Richmond,Card,"Espresso - £2.0, Mocha - £3.75, Macchiato - £3.1",
Anna Smith,2024/08/25 10:25,Richmond,Cash,"Americano - 2.2, Mocha -  3.75 ",
Nina Patel,2024/10/03 16:58,Richmond,Card,"Macchiato - 3.1, Macchiato - £3.1, Cappuccino - 3.0",7959399123735735.0
Grace Kim,2024/08/24 07:27,Richmond,Cash,"Espresso - 2.0, Americano -  2.2 , Macchiato - £3.1",
Fatima Yusuf,2024/10/03 16:58,Richmond,Card,"Macchiato - 3.1, Macchiato - £3.1, Cappuccino - 3.0",7959399123735735.0
Maria Lopez,2024/08/21 12:46,Richmond,Card,"Latte - £2.5, Macchiato -  3.1 ",8.288748060700122e+16
Grace Kim,2024/09/03 22:07,Richmond,Cash,Latte - £2.5,
Anna Smith,2024/07/04 20:56,Richmond,Cash,"Cappuccino -  3.0 , Flat White -  2.75 , Americano - £2.2",
Grace Kim,2024/12/31 08:42,Richmond,Card,"Mocha - 3.75, Americano - 2.2, Macchiato - £3.1",8.061962755335803e+16
Carlos Reyes,2024/09/13 03:02,Richmond,Cash,"Americano - £2.2, Macchiato -  3.1 , Espresso -  2.0 ",
Carlos Reyes,2024/10/01 04:33,Richmond,Card,Mocha - £3.75,2697728842356509.0
Anna Smith,2024/08/25 10:25,Richmond,Cash,"Americano - 2.2, Mocha -  3.75 ",
Leila Ahmed,2024/09/22 05:39,Richmond,Card,"Americano - £2.2, Espresso - 2.0",4709209002862419.0
Fatima Yusuf,2024/07/24 12:05,Richmond,Card,"Flat White -  2.75 , Flat White - £2.75",171998149496829.0
Carlos Reyes,2024/07/10 12:50,Richmond,Cash,"Macchiato - £3.1, Espresso - £2.0, Espresso - 2.0",
Jake Thompson,2024/08/26 07:03,Richmond,Card,"Americano - £2.2, Cappuccino -  3.0 , Americano - 2.2",7.202856138581503e+16
