Customer Name,Date/Time,Branch,Payment Type,Drinks Ordered,Card Number
Maria Lopez,25 Apr 2024 08:10,Richmond,Card,"Macchiato - 3.1, Flat White - 2.75",13176867632856026
Jake Thompson,2024/04/25 22:46,Richmond,Cash,"Latte -  2.5 , Macchiato -  3.1 , Mocha - £3.75, Americano - £2.2",
Chinedu Okafor,25 Apr 2024 15:45,Richmond,Card,"Espresso - 2.0, Espresso - £2.0, Flat White -  2.75 ",78678026789528798
Aisha Bello,2024/04/25 09:02,Richmond,Cash,Latte -  2.5 ,
Oliver Twist,25th April 2024,Richmond,Cash,"Cappuccino - £3.0, Mocha - 3.75",
Carlos Reyes,25th April 2024,Richmond,Cash,"Flat White -  2.75 , Espresso - 2.0, Americano - £2.2",
Carlos Reyes,25-04-2024 12:17,Richmond,Cash,"Flat White -  2.75 , Latte - £2.5, Latte - 2.5, Cappuccino - £3.0",
Nina Patel,2024/04/25 15:52,Richmond,Cash,"Americano - 2.2, Mocha -  3.75 ",
Anna Smith,25 Apr 2024 07:47,Richmond,Card,Americano - £2.2,4.781461762521060e+00+15
James Carter,25 Apr 2024 19:35,Richmond,Card,Americano - 2.2,93884809060651384
Maria Lopez,2024/04/25 11:43,Richmond,Card,"Cappuccino - 3.0, Cappuccino - 3.0, Macchiato - £3.1",
Nina Patel,25/04/2024,Richmond,Cash,"Mocha -  3.75 , Mocha -  3.75 ",
Fatima Yusuf,25 Apr 2024 22:11,Richmond,Card,"Latte - 2.5, Mocha -  3.75 , Latte -  2.5 ",73448513350964664
Grace Kim,2024/04/25 14:38,Richmond,Card,"Macchiato - 3.1, Americano - 2.2",
Dave Johnson,25th April 2024,Richmond,Card,Flat White - £2.75,24357209743331028
Chinedu Okafor,2024/04/25 17:26,Richmond,Card,Americano - 2.2,30388529097447887
Dave Johnson,25 Apr 2024 14:36,Richmond,Card,Americano - 2.2,10544915064563756
Dave Johnson,25 Apr 2024 18:14,Richmond,Card,Cappuccino -  3.0 ,39595264370739801
Chen Wei,25th April 2024,Richmond,Card,"Macchiato - 3.1, Americano -  2.2 , Americano -  2.2 ",1.956888670333883e+00+17
Chen Wei,2024/04/25 19:26,Richmond,Cash,"Macchiato -  3.1 , Mocha - £3.75",
Anna Smith,25/04/2024,Richmond,Card,"Flat White - £2.75, Latte -  2.5 ",87841142463203589
Nina Patel,2024/04/25 09:22,Richmond,Card,Cappuccino -  3.0 ,48323454870755527
Fatima Yusuf,2024/04/25 22:42,Richmond,Cash,"Flat White - 2.75, Cappuccino -  3.0 ",
Fatima Yusuf,25/04/2024,Richmond,Cash,"Mocha - £3.75, Flat White - 2.75",
Chinedu Okafor,2024/04/25 09:36,Richmond,Card,"Latte - 2.5, Mocha - 3.75, Mocha - 3.75",8.551178898399495e+00+17
James Carter,25th April 2024,Richmond,Cash,"Cappuccino - 3.0, Americano - £2.2",
Leila Ahmed,25-04-2024 21:36,Richmond,Card,"Espresso - £2.0, Flat White -  2.75 , Latte -  2.5 ",6124147153418260
Jake Thompson,25 Apr 2024 18:18,Richmond,Cash,Macchiato - 3.1,
Grace Kim,2024/04/25 19:45,Richmond,Cash,"Macchiato - £3.1, Flat White - 2.75",
Carlos Reyes,25/04/2024,Richmond,Card,"Mocha - 3.75, Flat White - 2.75",4.686437107564442e+00+17
Anna Smith,25 Apr 2024 19:41,Richmond,Cash,"Mocha -  3.75 , Cappuccino - £3.0, Cappuccino -  3.0 ",
Oliver Twist,25-04-2024 10:08,Richmond,Cash,Flat White -  2.75 ,
Fatima Yusuf,25-04-2024 12:04,Richmond,Card,"Latte -  2.5 , Cappuccino - 3.0, Americano - 2.2",1.378104695301908e+00+16
Jake Thompson,25 Apr 2024 07:16,Richmond,Card,Macchiato - £3.1,97761881145998435
Nina Patel,2024/04/25 08:21,Richmond,Card,Latte -  2.5 ,
Grace Kim,25th April 2024,Richmond,Cash,"Espresso - 2.0, Espresso - 2.0",
Fatima Yusuf,25th April 2024,Richmond,Cash,"Mocha - £3.75, Flat White - 2.75",
James Carter,2024/04/25 18:18,Richmond,Card,"Macchiato - 3.1, Americano -  2.2 ",33618725934000952
James Carter,25-04-2024 12:36,Richmond,Card,Mocha - £3.75,8.007785809961341e+00+16
Leila Ahmed,2024/04/25 14:48,Richmond,Card,"Latte - 2.5, Espresso - £2.0",52320351298457193
Nina Patel,25/04/2024,Richmond,Card,"Latte - 2.5, Macchiato - £3.1",6.983128396505917e+00+16
Jake Thompson,25th April 2024,Richmond,Card,Latte -  2.5 ,9.424544314893097e+00+16
Aisha Bello,2024/04/25 17:42,Richmond,Card,"Macchiato -  3.1 , Cappuccino - £3.0, Flat White -  2.75 ",85293585340921829
Sophie Dubois,25/04/2024,Richmond,Cash,Latte - 2.5,
Aisha Bello,25/04/2024,Richmond,,Invalid Order String,
Chen Wei,25/04/2024,Richmond,Cash,Mocha - 3.75,
Chen Wei,25 Apr 2024 19:32,Richmond,Card,"Mocha - £3.75, Espresso - £2.0, Mocha - 3.75",1.296945353992980e+00+16
Carlos Reyes,25th April 2024,Richmond,Cash,Latte - 2.5,
Leila Ahmed,25th April 2024,Richmond,Card,Macchiato -  3.1 ,1.306107017728543e+00+16
Fatima Yusuf,25th April 2024,Richmond,Card,Latte -  2.5 ,12462634650063763
Oliver Twist,25 Apr 2024 18:50,Richmond,Cash,Macchiato -  3.1 ,
Chinedu Okafor,25/04/2024,Richmond,Cash,Cappuccino - 3.0,
Chinedu Okafor,25-04-2024 15:14,Richmond,Card,Mocha - £3.75,67911086480423528
Nina Patel,25/04/2024,Richmond,Card,"Espresso - £2.0, Macchiato - 3.1",
Jake Thompson,2024/04/25 22:09,Richmond,Cash,"Espresso - 2.0, Cappuccino - 3.0",
Anna Smith,25th April 2024,Richmond,Card,Cappuccino - 3.0,9.385925802362603e+00+17
Dave Johnson,25 Apr 2024 12:53,Richmond,Card,Mocha - 3.75,87530181436847391
Carlos Reyes,2024/04/25 14:45,Richmond,Cash,"Americano -  2.2 , Latte - £2.5",
James Carter,25th April 2024,Richmond,Cash,Latte - 2.5,
Leila Ahmed,25/04/2024,Richmond,Card,Macchiato -  3.1 ,2.888804015907388e+00+16
,25-04-2024 07:24,Richmond,Card,Latte - £2.5,2.620558423316143e+00+16
Dave Johnson,2024/04/25 14:35,Richmond,Cash,"Macchiato - £3.1, Cappuccino -  3.0 , Flat White - 2.75",
James Carter,2024/04/25 19:18,Richmond,Cash,Americano -  2.2 ,
Carlos Reyes,25/04/2024,Richmond,Card,Latte - £2.5,
Sophie Dubois,25 Apr 2024 19:23,Richmond,Cash,"Mocha -  3.75 , Cappuccino -  3.0 , Flat White - £2.75, Espresso - £2.0",
