Customer Name,Date/Time,Branch,Payment Type,Drinks Ordered,Card Number
Fatima Yusuf,08-09-2024 19:13,Richmond,Cash,"Americano - £2.2, Espresso - £2.0",
Chinedu Okafor,11-02-2025 05:48,Richmond,Card,"Flat White - £2.75, Mocha - £3.75, Espresso - 2.0",640476831034440.0
Dave Johnson,08 Aug 2024 11:21,Richmond,Card,"Macchiato - 3.1, Cappuccino - £3.0",159048325603884.0
Grace Kim,14 Jan 2025 07:24,Richmond,Card,"Espresso - 2.0, Latte -  2.5 , Americano - £2.2",8.93290947761005e+16
Carlos Reyes,10-09-2024 15:55,Richmond,Card,Americano - 2.2,2.056077366578768e+16
Jake Thompson,2024/12/21 07:21,Richmond,Cash,"Latte - £2.5, Mocha - £3.75",
Oliver Twist,20th April 2025,Richmond,Cash,"Mocha - 3.75, Latte - 2.5, Flat White - £2.75",
Dave Johnson,25 Aug 2024 02:11,Richmond,Card,"Macchiato - £3.1, Flat White -  2.75 ",80126296716503.0
Fatima Yusuf,10 Sep 2024 21:26,Richmond,Card,"Americano - 2.2, Cappuccino - 3.0, Mocha - 3.75",9.23197175402927e+16
Aisha Bello,2024/12/21 07:21,Richmond,Card,"Americano - 2.2, Americano - £2.2, Latte - £2.5",169829215712166.0
Grace Kim,11-02-2025 05:48,Richmond,Cash,"Cappuccino - 3.0, Mocha - £3.75",
Sophie Dubois,2025/04/20 09:15,Richmond,Cash,"Macchiato -  3.1 , Macchiato -  3.1 , Latte - £2.5",
Carlos Reyes,10 Sep 2024 21:26,Richmond,Cash,"Mocha - £3.75, Macchiato - £3.1",
James Carter,10 Sep 2024 21:26,Richmond,Card,"Espresso - £2.0, Americano - 2.2",9.700147985671603e+16
Anna Smith,20th April 2025,Richmond,Cash,"Americano - 2.2, Mocha -  3.75 ",
Maria Lopez,11-02-2025 05:48,Richmond,Card,Mocha - 3.75,9.584795240316416e+16
Dave Johnson,10 Sep 2024 21:26,Richmond,Cash,"Americano - 2.2, Macchiato - 3.1",
Fatima Yusuf,2024/08/05 22:53,Richmond,Cash,"Mocha - £3.75, Flat White - 2.75, Macchiato - £3.1",
Aisha Bello,11-02-2025 05:48,Richmond,Card,"Mocha - 3.75, Espresso -  2.0 , Flat White - £2.75, Latte -  2.5 ",9.65888101287163e+16
James Carter,20th April 2025,Richmond,Cash,"Mocha - 3.75, Flat White - £2.75, Espresso - £2.0",
Carlos Reyes,14 Jan 2025 07:24,Richmond,Cash,"Macchiato - 3.1, Macchiato - £3.1, Mocha - 3.75",
Anna Smith,2024/11/28 18:50,Richmond,Cash,"Cappuccino -  3.0 , Flat White -  2.75 , Americano - £2.2",
James Carter,11-02-2025 05:48,Richmond,Card,"Espresso - £2.0, Latte -  2.5 ",6.20869687707476e+16
Leila Ahmed,14 Jan 2025 07:24,Richmond,Card,"Americano - £2.2, Espresso - 2.0",4709209002862419.0
Carlos Reyes,05-09-2024 21:04,Richmond,Cash,"Americano - £2.2, Cappuccino -  3.0 ",
Fatima Yusuf,05-04-2025 14:27,Richmond,Card,"Espresso - £2.0, Mocha - £3.75, Macchiato - £3.1",4709209002862419.0
Anna Smith,05-04-2025 14:27,Richmond,Cash,"Americano - 2.2, Mocha -  3.75 ",
Nina Patel,10 Sep 2024 21:26,Richmond,Card,"Macchiato - 3.1, Macchiato - £3.1, Cappuccino - 3.0",7959399123735735.0
Grace Kim,25 Aug 2024 02:11,Richmond,Cash,"Espresso - 2.0, Americano -  2.2 , Macchiato - £3.1",
Fatima Yusuf,05-04-2025 14:27,Richmond,Card,"Macchiato - 3.1, Macchiato - £3.1, Cappuccino - 3.0",7959399123735735.0
Maria Lopez,2024/09/29 18:27,Richmond,Card,"Latte - £2.5, Macchiato -  3.1 ",8.288748060700122e+16
Grace Kim,04/20/2025,Richmond,Cash,Latte - £2.5,
Anna Smith,2024/08/05 22:53,Richmond,Cash,"Cappuccino -  3.0 , Flat White -  2.75 , Americano - £2.2",
Grace Kim,10 Sep 2024 21:26,Richmond,Card,"Mocha - 3.75, Americano - 2.2, Macchiato - £3.1",8.061962755335803e+16
Carlos Reyes,2024/09/13 14:14,Richmond,Cash,"Americano - £2.2, Macchiato -  3.1 , Espresso -  2.0 ",
Carlos Reyes,10-09-2024 15:55,Richmond,Card,Mocha - £3.75,2697728842356509.0
Anna Smith,2024/11/28 18:50,Richmond,Cash,"Americano - 2.2, Mocha -  3.75 ",
Leila Ahmed,10-09-2024 15:55,Richmond,Card,"Americano - £2.2, Espresso - 2.0",4709209002862419.0
Fatima Yusuf,2024/12/21 07:21,Richmond,Card,"Flat White -  2.75 , Flat White - £2.75",171998149496829.0
Carlos Reyes,04/20/2025,Richmond,Cash,"Macchiato - £3.1, Espresso - £2.0, Espresso - 2.0",
Jake Thompson,08 Aug 2024 11:21,Richmond,Card,"Americano - £2.2, Cappuccino -  3.0 , Americano - 2.2",7.202856138581503e+16
,20-04-2025,Richmond,Cash,"Americano - £2.2, Espresso - £2.0",
Chinedu Okafor,08-09-2024 19:13,Richmond,Card,Americano - 2.2,640476831034440.0
Fatima Yusuf,2024/09/29 18:27,Richmond,Card,"Americano - 2.2, Cappuccino - 3.0, Mocha - 3.75",9.23197175402927e+16
Jake Thompson,04/20/2025,Richmond,Cash,"Latte - £2.5, Mocha - £3.75",
Carlos Reyes,21-09-2024 08:19,Richmond,Card,Americano - 2.2,2.056077366578768e+16
Sophie Dubois,14 Jan 2025 07:24,Richmond,Cash,"Macchiato -  3.1 , Macchiato -  3.1 , Latte - £2.5",
Maria Lopez,14 Jan 2025 07:24,Richmond,Card,Mocha - 3.75,9.584795240316416e+16
Grace Kim,21-09-2024 08:19,Richmond,Card,"Espresso - 2.0, Latte -  2.5 , Americano - £2.2",8.93290947761005e+16
Carlos Reyes,10 Sep 2024 21:26,Richmond,Cash,"Mocha - £3.75, Macchiato - £3.1",
Dave Johnson,20-04-2025,Richmond,Card,"Macchiato - £3.1, Flat White -  2.75 ",80126296716503.0
Oliver Twist,20th April 2025,Richmond,Cash,"Mocha - 3.75, Latte - 2.5, Flat White - £2.75",
Aisha Bello,2024/08/30 08:00,Richmond,Card,"Mocha - 3.75, Espresso -  2.0 , Flat White - £2.75, Latte -  2.5 ",9.65888101287163e+16
James Carter,2024/11/28 18:50,Richmond,Cash,"Mocha - 3.75, Flat White - £2.75, Espresso - £2.0",
Anna Smith,14 Jan 2025 07:24,Richmond,Cash,"Cappuccino -  3.0 , Flat White -  2.75 , Americano - £2.2",
James Carter,2024/09/29 18:27,Richmond,Card,"Espresso - £2.0, Latte -  2.5 ",6.20869687707476e+16
Carlos Reyes,04/20/2025,Richmond,Cash,"Americano - £2.2, Cappuccino -  3.0 ",
Fatima Yusuf,25 Aug 2024 02:11,Richmond,Card,"Espresso - £2.0, Mocha - £3.75, Macchiato - £3.1",4709209002862419.0
Anna Smith,20th April 2025,Richmond,Cash,"Americano - 2.2, Mocha -  3.75 ",
Nina Patel,08-09-2024 19:13,Richmond,Card,"Macchiato - 3.1, Macchiato - £3.1, Cappuccino - 3.0",7959399123735735.0
Grace Kim,20-04-2025,Richmond,Cash,"Espresso - 2.0, Americano -  2.2 , Macchiato - £3.1",
Maria Lopez,21-09-2024 08:19,Richmond,Card,"Latte - £2.5, Macchiato -  3.1 ",8.288748060700122e+16
Grace Kim,2024/12/21 07:21,Richmond,Cash,Latte - £2.5,
Anna Smith,20th April 2025,Richmond,Cash,"Cappuccino -  3.0 , Flat White -  2.75 , Americano - £2.2",
Grace Kim,04/20/2025,Richmond,Card,"Mocha - 3.75, Americano - 2.2, Macchiato - £3.1",8.061962755335803e+16
Carlos Reyes,10-09-2024 15:55,Richmond,Cash,"Americano - £2.2, Macchiato -  3.1 , Espresso -  2.0 ",
Carlos Reyes,20 Mar 2025 00:43,Richmond,Card,Mocha - £3.75,2697728842356509.0
Anna Smith,08 Aug 2024 11:21,Richmond,Cash,"Americano - 2.2, Mocha -  3.75 ",
Leila Ahmed,2024/11/28 18:50,Richmond,Card,"Americano - £2.2, Espresso - 2.0",4709209002862419.0
Fatima Yusuf,21-09-2024 08:19,Richmond,Card,"Flat White -  2.75 , Flat White - £2.75",171998149496829.0
Carlos Reyes,11-02-2025 05:48,Richmond,Cash,"Macchiato - £3.1, Espresso - £2.0, Espresso - 2.0",
Jake Thompson,11-02-2025 05:48,Richmond,Card,"Americano - £2.2, Cappuccino -  3.0 , Americano - 2.2",7.202856138581503e+16
Dave Johnson,11-02-2025 05:48,Richmond,Card,"Macchiato - 3.1, Cappuccino - £3.0",159048325603884X
Chinedu Okafor,10-09-2024 15:55,Richmond,Card,"Flat White - £2.75, Mocha - £3.75, Espresso - 2.0",640476831034440.0
Fatima Yusuf,2024/08/05 22:53,Richmond,Cash,"Americano - £2.2, Espresso - £2.0",
Jake Thompson,20-04-2025,Richmond,Cash,"Latte - £2.5, Mocha - £3.75",
Carlos Reyes,04/20/2025,Richmond,Card,Latte - 2.5,2.056077366578768e+16
Grace Kim,10-09-2024 15:55,Richmond,Card,"Espresso - 2.0, Latte -  2.5 , Americano - £2.2",8.93290947761005e+16
Dave Johnson,10 Sep 2024 21:26,Richmond,Card,"Macchiato - £3.1, Flat White -  2.75 ",80126296716503.0
Sophie Dubois,08-09-2024 19:13,Richmond,Cash,"Macchiato -  3.1 , Macchiato -  3.1 , Latte - £2.5",
Maria Lopez,2024/09/29 18:27,Richmond,Card,Mocha - 3.75,
Carlos Reyes,2024/09/13 14:14,Richmond,Cash,"Mocha - £3.75, Macchiato - £3.1",
Dave Johnson,04/20/2025,Richmond,Cash,"Americano - 2.2, Macchiato - 3.1",
Oliver Twist,21-09-2024 08:19,Richmond,Cash,"Mocha - 3.75, Latte - 2.5, Flat White - £2.75",
Aisha Bello,10 Sep 2024 21:26,Richmond,Card,Mocha - 3.75,9.65888101287163e+16
James Carter,05-09-2024 21:04,Richmond,Cash,Mocha £3.75,
Carlos Reyes,20 Mar 2025 00:43,Richmond,Cash,"Macchiato - 3.1, Macchiato - £3.1, Mocha - 3.75",
Anna Smith,10 Sep 2024 21:26,Richmond,Cash,"Cappuccino -  3.0 , Flat White -  2.75 , Americano - £2.2",
James Carter,20 Mar 2025 00:43,Richmond,Card,"Espresso - £2.0, Latte -  2.5 ",6.20869687707476e+16
Leila Ahmed,08 Aug 2024 11:21,Richmond,Card,"Americano - £2.2, Espresso - 2.0",
Carlos Reyes,14 Jan 2025 07:24,Richmond,Cash,"Americano - £2.2, Cappuccino -  3.0 ",
Fatima Yusuf,05-04-2025 14:27,Richmond,Card,"Espresso - £2.0, Mocha - £3.75, Macchiato - £3.1",
Anna Smith,20 Mar 2025 00:43,Richmond,Cash,"Americano - 2.2, Mocha -  3.75 ",
Nina Patel,08 Aug 2024 11:21,Richmond,Card,"Macchiato - 3.1, Macchiato - £3.1, Cappuccino - 3.0",7959399123735735.0
Grace Kim,2024/08/30 08:00,Richmond,Cash,"Espresso - 2.0, Americano -  2.2 , Macchiato - £3.1",
Fatima Yusuf,10 Sep 2024 21:26,Richmond,Card,"Macchiato - 3.1, Macchiato - £3.1, Cappuccino - 3.0",7959399123735735.0
Maria Lopez,11-02-2025 05:48,Richmond,Card,"Latte - £2.5, Macchiato -  3.1 ",8.288748060700122e+16
Grace Kim,2025/04/20 09:15,Richmond,Cash,Latte - £2.5,
Anna Smith,2024/09/29 18:27,Richmond,Cash,"Cappuccino -  3.0 , Flat White -  2.75 , Americano - £2.2",
Grace Kim,21-09-2024 08:19,Richmond,Card,"Mocha - 3.75, Americano - 2.2, Macchiato - £3.1",8.061962755335803e+16
Carlos Reyes,08-09-2024 19:13,Richmond,Cash,"Americano - £2.2, Macchiato -  3.1 , Espresso -  2.0 ",
Carlos Reyes,08 Aug 2024 11:21,Richmond,Card,Mocha - £3.75,2697728842356509.0
Anna Smith,2024/11/28 18:50,Richmond,Cash,"Americano - 2.2, Mocha -  3.75 ",
Leila Ahmed,10 Sep 2024 21:26,Richmond,Card,"Americano - £2.2, Espresso - 2.0",4709209002862419.0
Fatima Yusuf,20 Mar 2025 00:43,Richmond,Card,"Flat White -  2.75 , Flat White - £2.75",171998149496829.0
Carlos Reyes,05-04-2025 14:27,Richmond,Cash,"Macchiato - £3.1, Espresso - £2.0, Espresso - 2.0",
Jake Thompson,2024/12/21 07:21,Richmond,Card,"Americano - £2.2, Cappuccino -  3.0 , Americano - 2.2",7.202856138581503e+16
