Customer Name,Date/Time,Branch,Payment Type,Drinks Ordered,Card Number
Jake Thompson,14 Jan 2025 07:24,Soho,Card,"Americano - 2.2, Americano - £2.2",265774428714227.0
Grace Kim,2024/09/29 18:27,Soho,Card,"Flat White - 2.75, Espresso - £2.0, Mocha -  3.75 , Cappuccino - £3.0",73210779751685.0
Chinedu Okafor,2024/08/05 22:53,Soho,Card,"Flat White - 2.75, Flat White - £2.75, Latte -  2.5 , Americano - 2.2",36384200550700.0
Oliver Twist,2024/08/05 22:53,Soho,Cash,"Cappuccino - £3.0, Americano - £2.2",
Leila Ahmed,08-09-2024 19:13,Soho,Cash,"Americano - £2.2, Espresso - 2.0",
Nina Patel,2024/08/30 08:00,Soho,Card,"Macchiato -  3.1 , Flat White -  2.75 , Latte -  2.5 ",807398882718828.0
Grace Kim,04/20/2025,Soho,Card,"Espresso -  2.0 , Macchiato - 3.1",6.830825905374918e+16
Anna Smith,11-02-2025 05:48,Soho,Cash,"Cappuccino -  3.0 , Flat White -  2.75 , Americano - £2.2, Americano - £2.2",
Grace Kim,2024/12/21 07:21,Soho,Cash,"Espresso - 2.0, Americano -  2.2 , Macchiato - £3.1, Espresso - 2.0",
Sophie Dubois,20 Mar 2025 00:43,Soho,Card,"Latte -  2.5 , Flat White -  2.75 , Espresso -  2.0 , Flat White -  2.75 ",8.742267562022352e+16
Fatima Yusuf,2024/09/13 14:14,Soho,Cash,"Flat White -  2.75 , Flat White - £2.75",
Jake Thompson,2024/09/29 18:27,Soho,Card,"Espresso - £2.0, Mocha - £3.75, Macchiato - £3.1",4709209002862419.0
Grace Kim,10 Sep 2024 21:26,Soho,Card,"Mocha - 3.75, Cappuccino - £3.0",3.706617861973435e+16
Anna Smith,2024/09/29 18:27,Soho,Cash,Macchiato - 3.1,
James Carter,14 Jan 2025 07:24,Soho,Card,"Macchiato -  3.1 , Espresso - £2.0, Americano - 2.2",890254567392545.0
Anna Smith,05-04-2025 14:27,Soho,Cash,Latte - 2.5,
Nina Patel,14 Jan 2025 07:24,Soho,Cash,Flat White - 2.75,
Dave Johnson,2024/11/28 18:50,Soho,Cash,"Espresso - 2.0, Americano - £2.2, Mocha - £3.75",
Grace Kim,14 Jan 2025 07:24,Soho,Cash,"Mocha -  3.75 , Cappuccino - 3.0",
Leila Ahmed,20 Mar 2025 00:43,Soho,Card,"Macchiato - £3.1, Americano - £2.2, Mocha -  3.75 , Espresso -  2.0 ",8.006997406846907e+16
Anna Smith,20-04-2025,Soho,Cash,"Americano - 2.2, Mocha -  3.75 ",
