Customer Name,Date/Time,Branch,Payment Type,Drinks Ordered,Card Number
Nina Patel,28-04-2024 22:41,Brixton,Cash,"Macchiato - £3.1, Latte - £2.5",
Leila Ahmed,28/04/2024,Brixton,Card,Cappuccino -  3.0 ,7.251735533662466e+00+16
Anna Smith,2024/04/28 14:28,Brixton,,Latte - 2.5,
,28-04-2024 19:07,Brixton,Cash,"Macchiato -  3.1 , Mocha - £3.75",
James Carter,28/04/2024,Brixton,Card,"Macchiato -  3.1 , Cappuccino - £3.0",44813406675864896
Chinedu Okafor,28th April 2024,Brixton,Cash,Macchiato - 3.1,
James Carter,28/04/2024,Brixton,Cash,"Latte -  2.5 , Latte - 2.5",
Oliver Twist,2024/04/28 20:24,Brixton,Card,"Americano - £2.2, Macchiato - 3.1, Latte -  2.5 ",97470770049867661
Fatima Yusuf,28 Apr 2024 16:59,Brixton,Card,"Latte - 2.5, Mocha -  3.75 ",41987649664842979
Maria Lopez,28-04-2024 14:52,Brixton,Cash,"Macchiato - £3.1, Espresso - £2.0, Macchiato - £3.1",
Chinedu Okafor,28th April 2024,Brixton,Cash,"Americano - £2.2, Mocha -  3.75 ",
Fatima Yusuf,28-04-2024 18:48,Brixton,Cash,"Macchiato - 3.1, Macchiato - 3.1, Latte - £2.5",
Aisha Bello,28th April 2024,Brixton,Card,Mocha - £3.75,6.508046487356715e+00+15
Maria Lopez,28/04/2024,Brixton,Cash,"Latte - 2.5, Americano -  2.2 ",
Leila Ahmed,28 Apr 2024 08:54,Brixton,Card,Latte -  2.5 ,85303449052142750
Sophie Dubois,2024/04/28 09:34,Brixton,Card,"Americano -  2.2 , Mocha - £3.75",37188913046527379
Grace Kim,2024/04/28 07:11,Brixton,Cash,Americano - 2.2,
Oliver Twist,2024/04/28 11:59,Brixton,Cash,Americano - 2.2,
Jake Thompson,28 Apr 2024 21:56,Brixton,Cash,Flat White - £2.75,
Dave Johnson,28/04/2024,Brixton,Cash,Latte - 2.5,
Grace Kim,28/04/2024,Brixton,Cash,"Mocha - £3.75, Americano -  2.2 ",
Grace Kim,28th April 2024,Brixton,Cash,"Espresso - £2.0, Macchiato -  3.1 ",
