Customer Name,Date/Time,Branch,Payment Type,Drinks Ordered,Card Number
Chen Wei,03-05-2024 19:39,Brixton,Card,"Mocha -  3.75 , Latte -  2.5 , Mocha -  3.75 ",39101129971343890
Sophie Dubois,03/05/2024,Brixton,Cash,Americano -  £2.2 ,
Chinedu Okafor,03/05/2024,Brixton,Card,"Espresso -  2.0 , Latte - £2.5, Macchiato -  £3.1 ",65400955202808539
Aisha Bello,03/05/2024,Brixton,Card,"Macchiato - £3.1, Espresso -  2.0 , Macchiato - £3.1",9228070398827417
Dave Johnson,03/05/2024,Brixton,Card,Americano -  £2.2 ,
Maria Lopez,03/05/2024,Brixton,Card,"Latte -  £2.5 , Americano -  2.2 , Macchiato - £3.1",99683410787844204
Dave Johnson,03/05/2024,Brixton,Card,"Cappuccino - 3.0, Macchiato -  £3.1 ",44374883897018690
Nina Patel,03 May 2024 16:07,Brixton,Cash,"Espresso -  2.0 , Espresso - £2.0, Cappuccino - £3.0",51587875087247257
James Carter,03 May 2024 17:19,Brixton,Card,"Cappuccino - 3.0, Latte -  £2.5 ",23193067473027727
Oliver Twist,03-05-2024 15:31,Brixton,Card,"Americano -  £2.2 , Mocha - 3.75",
Aisha Bello,03th May 2024,Brixton,Card,"Latte - £2.5, Macchiato - 3.1",65480067715251371
Jake Thompson,03-05-2024 18:11,Brixton,Card,Mocha -  £3.75 ,
Grace Kim,03-05-2024 21:50,Brixton,Card,"Espresso -  £2.0 , Latte -  £2.5 , Macchiato - £3.1",
Aisha Bello,03/05/2024,Brixton,Cash,"Americano - £2.2, Flat White -  £2.75 , Espresso -  £2.0 ",
Aisha Bello,2024/05/03 11:54,Brixton,Card,Mocha -  3.75 ,43006499394498724
Grace Kim,03-05-2024 15:00,Brixton,Cash,Espresso - £2.0,43420646206221889
Maria Lopez,03th May 2024,Brixton,Cash,"Flat White - £2.75, Mocha -  3.75 , Latte - 2.5",96746471023692690
Oliver Twist,03-05-2024 20:27,Brixton,Cash,Macchiato -  £3.1 ,7.708220861240128e+16
Dave Johnson,03th May 2024,Brixton,Cash,Flat White -  £2.75 ,
James Carter,03th May 2024,Brixton,Card,Latte -  2.5 ,3.859442610688862e+16
,03/05/2024,Brixton,Card,"Americano - £2.2, Macchiato - 3.1",
Oliver Twist,03/05/2024,Brixton,Cash,Mocha -  3.75 ,78328267867440170
Anna Smith,2024/05/03 09:54,Brixton,Card,"Mocha -  3.75 , Flat White - 2.75, Americano -  £2.2 ",
Aisha Bello,03th May 2024,Brixton,Card,"Americano - £2.2, Latte - £2.5",32220237485360837
Fatima Yusuf,03/05/2024,Brixton,Cash,"Espresso -  2.0 , Espresso - £2.0, Flat White -  2.75 ",
Chinedu Okafor,03/05/2024,Brixton,Cash,"Cappuccino -  3.0 , Cappuccino -  £3.0 , Flat White - £2.75",
Grace Kim,03 May 2024 07:06,Brixton,Cash,Americano -  £2.2 ,45233656063284690
Anna Smith,2024/05/03 11:46,Brixton,Card,"Latte - £2.5, Americano -  £2.2 , Latte -  £2.5 ",42927510493696985
Grace Kim,03th May 2024,Brixton,Card,"Macchiato - 3.1, Macchiato -  3.1 ",91706898002447981
Fatima Yusuf,03-05-2024 22:22,Brixton,Card,"Cappuccino -  3.0 , Macchiato -  £3.1 , Cappuccino -  £3.0 ",3.2686164772623068e+16
Chen Wei,2024/05/03 14:48,Brixton,Card,"Espresso - 2.0, Mocha -  £3.75 ",
Leila Ahmed,03 May 2024 19:23,Brixton,Cash,"Flat White - £2.75, Americano - 2.2, Americano -  £2.2 ",33538904452962695
Maria Lopez,03 May 2024 21:21,Brixton,Cash,Mocha - £3.75,78672423803799804
Nina Patel,03th May 2024,Brixton,Cash,Mocha - 3.75,
Dave Johnson,03-05-2024 12:49,Brixton,Cash,Flat White -  £2.75 ,4235924799922523
Chinedu Okafor,03-05-2024 18:10,Brixton,Cash,"Latte -  £2.5 , Mocha - 3.75, Espresso - 2.0",
Fatima Yusuf,2024/05/03 07:38,Brixton,Cash,"Espresso - £2.0, Latte - 2.5",25513082887862191
