Customer Name,Date/Time,Branch,Payment Type,Drinks Ordered,Card Number
Fatima Yusuf,2024/05/03 10:27,Soho,Card,"Latte -  £2.5 , Espresso -  £2.0 ",97494162283314708
Grace Kim,03/05/2024,Soho,Card,"Cappuccino -  3.0 , Espresso -  £2.0 , Cappuccino -  £3.0 ",
Sophie Dubois,03/05/2024,Soho,Card,Macchiato - 3.1,
Sophie Dubois,2024/05/03 16:47,Soho,Cash,"Mocha -  £3.75 , Cappuccino -  £3.0 , Americano - 2.2",54394488877615445
Leila Ahmed,03th May 2024,Soho,Card,"Mocha - 3.75, Mocha -  3.75 , Americano -  2.2 ",
Nina Patel,03/05/2024,Soho,Card,Cappuccino -  3.0 ,
Fatima Yusuf,2024/05/03 12:10,Soho,Card,"Flat White - £2.75, Espresso - £2.0, Latte -  £2.5 ",16833780499812569
Chinedu Okafor,03/05/2024,Soho,Cash,"Flat White -  2.75 , Latte -  £2.5 ",
Fatima Yusuf,03th May 2024,Soho,Card,"Espresso - 2.0, Mocha -  3.75 , Espresso -  £2.0 ",56838160023727529
Maria Lopez,03th May 2024,Soho,Cash,"Mocha -  £3.75 , Latte -  £2.5 ",77289794860252326
Oliver Twist,03/05/2024,Soho,Card,Espresso - £2.0,74084592703990338
Chen Wei,2024/05/03 17:03,Soho,Card,"Flat White - 2.75, Flat White -  2.75 , Mocha - £3.75",
James Carter,2024/05/03 19:51,Soho,Cash,Flat White -  £2.75 ,
Dave Johnson,03th May 2024,Soho,Card,Cappuccino -  £3.0 ,
Chen Wei,03th May 2024,Soho,Cash,"Espresso -  2.0 , Latte -  2.5 , Flat White - 2.75",
Aisha Bello,03/05/2024,Soho,Cash,"Latte - £2.5, Latte -  £2.5 , Latte - £2.5",3236611134308900
Sophie Dubois,03/05/2024,Soho,Card,"Mocha - £3.75, Cappuccino - £3.0",
Carlos Reyes,03-05-2024 19:41,Soho,Card,"Latte -  £2.5 , Mocha - £3.75",68495115935281230
Dave Johnson,03-05-2024 09:05,Soho,Card,"Americano - 2.2, Espresso - 2.0, Espresso -  £2.0 ",14855197924502640
Sophie Dubois,03-05-2024 17:42,Soho,Card,"Espresso - 2.0, Mocha - 3.75",
Grace Kim,03-05-2024 12:48,Soho,Card,"Macchiato -  £3.1 , Flat White - 2.75, Mocha - £3.75",
