Customer Name,Date/Time,Branch,Payment Type,Drinks Ordered,Card Number
Sophie Dubois,04-05-2024 19:12,Soho,Card,"Mocha - £3.75, Cappuccino - £3.0",22480421586330167
Oliver Twist,04/05/2024,Soho,Card,Mocha -  £3.75 ,
Grace Kim,2024/05/04 07:08,Soho,Cash,"Macchiato -  3.1 , Americano -  2.2 , Espresso - £2.0",4.6980821886937864e+16
Oliver Twist,04th May 2024,Soho,Card,"Latte - £2.5, Mocha - 3.75, Macchiato -  3.1 ",34762372202422174
Grace Kim,2024/05/04 21:39,Soho,Card,Flat White - 2.75,10646470894536513
James Carter,04-05-2024 19:26,Soho,Card,"Mocha -  3.75 , Macchiato - £3.1",39785662215669768
James Carter,04 May 2024 14:58,Soho,Cash,"Mocha - 3.75, Mocha - £3.75, Mocha - £3.75",8.324543811570888e+16
Grace Kim,04/05/2024,Soho,Cash,"Macchiato -  £3.1 , Cappuccino -  3.0 , Cappuccino -  £3.0 ",4921976781980292
Maria Lopez,2024/05/04 11:12,Soho,Card,Latte - £2.5,
Fatima Yusuf,04th May 2024,Soho,Cash,"Americano - £2.2, Latte - £2.5, Latte - £2.5",12479871932758848
Chinedu Okafor,04/05/2024,Soho,Cash,"Espresso - 2.0, Espresso - 2.0",
Oliver Twist,04/05/2024,Soho,Cash,"Americano - £2.2, Latte - £2.5",88266187652496908
Leila Ahmed,04-05-2024 15:56,Soho,Card,Mocha -  £3.75 ,93546509364668802
Fatima Yusuf,2024/05/04 16:39,Soho,Cash,Macchiato - £3.1,
,04/05/2024,Soho,Card,"Flat White - 2.75, Flat White -  £2.75 , Americano - 2.2",1.0170789056901952e+16
Nina Patel,04th May 2024,Soho,Cash,Americano - £2.2,88356972757791224
,04-05-2024 12:17,Soho,Cash,"Espresso -  2.0 , Flat White - 2.75, Mocha -  3.75 ",3540331304857666
,04th May 2024,Soho,Cash,Flat White - 2.75,44083509752066087
Chinedu Okafor,04 May 2024 21:23,Soho,Cash,"Americano -  2.2 , Mocha -  3.75 , Americano -  £2.2 ",
Jake Thompson,04 May 2024 11:22,Soho,Cash,Americano - £2.2,
Nina Patel,04 May 2024 21:39,Soho,Card,"Cappuccino - 3.0, Mocha -  3.75 ",38016408749693668
Anna Smith,04 May 2024 15:19,Soho,Card,"Latte - 2.5, Americano - 2.2",19263878662243313
Aisha Bello,04-05-2024 17:50,Soho,Card,"Cappuccino -  £3.0 , Espresso - £2.0",89623666576008520
Chinedu Okafor,04 May 2024 07:35,Soho,Cash,"Mocha - 3.75, Flat White - 2.75",
Chinedu Okafor,04-05-2024 16:34,Soho,Cash,"Latte - 2.5, Flat White -  £2.75 ",65182524228978633
Jake Thompson,04/05/2024,Soho,Cash,"Americano -  2.2 , Latte -  £2.5 , Espresso - 2.0",96371832095059111
,04th May 2024,Soho,Card,"Flat White - £2.75, Macchiato -  3.1 ",96002175541581608
Anna Smith,2024/05/04 19:18,Soho,Card,Macchiato - £3.1,39854516751169422
Anna Smith,04th May 2024,Soho,Card,"Latte -  £2.5 , Flat White - £2.75, Flat White -  £2.75 ",60991547612676476
Grace Kim,04th May 2024,Soho,Cash,"Flat White -  2.75 , Macchiato - 3.1, Mocha - 3.75",
Grace Kim,04 May 2024 19:54,Soho,Card,"Macchiato - 3.1, Mocha -  3.75 ",3403498047259792.0
Leila Ahmed,2024/05/04 15:08,Soho,Cash,"Flat White -  £2.75 , Mocha - £3.75, Macchiato -  3.1 ",
Sophie Dubois,04-05-2024 08:17,Soho,Cash,"Flat White -  £2.75 , Macchiato -  3.1 ",
James Carter,2024/05/04 13:01,Soho,Card,"Latte - £2.5, Mocha - 3.75, Americano -  £2.2 ",84680081583724048
