Customer Name,Date/Time,Branch,Payment Type,Drinks Ordered,Card Number
James Carter,05th May 2024,Soho,Cash,Mocha - 3.75,
,05 May 2024 17:30,Soho,Card,Americano - 2.2,36252241311844278
Nina Patel,05 May 2024 20:44,Soho,Card,Americano -  £2.2 ,
Carlos Reyes,05/05/2024,Soho,Card,Espresso - 2.0,
Chinedu Okafor,05 May 2024 08:51,Soho,Cash,Cappuccino -  £3.0 ,84419116372440805
Aisha Bello,05 May 2024 10:48,Soho,Card,"Flat White - £2.75, Macchiato - £3.1",
Chinedu Okafor,05 May 2024 14:23,Soho,Cash,"Latte -  £2.5 , Latte - £2.5, Macchiato - 3.1",
Fatima Yusuf,05-05-2024 21:49,Soho,Cash,"Macchiato -  3.1 , Macchiato -  £3.1 ",46184170045952286
Chen Wei,2024/05/05 13:20,Soho,Card,"Cappuccino -  £3.0 , Latte -  2.5 ",54417886932923215
James Carter,05-05-2024 16:45,Soho,Cash,"Latte - 2.5, Espresso -  2.0 , Americano - £2.2",
Fatima Yusuf,05/05/2024,Soho,Cash,Cappuccino - £3.0,57135790467159065
Chen Wei,05-05-2024 10:57,Soho,Card,"Latte - £2.5, Espresso -  £2.0 ",80150393336404221
Jake Thompson,05 May 2024 15:14,Soho,Card,"Cappuccino -  £3.0 , Americano -  £2.2 , Espresso -  2.0 ",77960324927165323
Anna Smith,05-05-2024 07:15,Soho,Card,Latte - £2.5,34699138997510011
Leila Ahmed,2024/05/05 21:44,Soho,Card,Americano -  £2.2 ,73320419182895820
Chen Wei,05 May 2024 20:15,Soho,Cash,Americano -  £2.2 ,22782276326732718
,05/05/2024,Soho,Card,Americano - £2.2,
,05th May 2024,Soho,Card,"Mocha -  3.75 , Macchiato - £3.1",
,05/05/2024,Soho,Card,"Cappuccino - £3.0, Americano - 2.2, Macchiato - 3.1",82565437353565921
Carlos Reyes,05th May 2024,Soho,Cash,"Flat White - £2.75, Americano -  2.2 , Americano -  2.2 ",75402543167268434
Maria Lopez,05/05/2024,Soho,Cash,"Americano - 2.2, Macchiato -  3.1 ",4056083278218956.0
James Carter,05 May 2024 07:31,Soho,Cash,"Americano -  £2.2 , Mocha - £3.75",21657313160483359
Grace Kim,05/05/2024,Soho,Cash,Macchiato - £3.1,61220213731803322
Fatima Yusuf,2024/05/05 07:04,Soho,Cash,"Flat White - 2.75, Flat White -  £2.75 , Latte -  £2.5 ",
Anna Smith,2024/05/05 15:17,Soho,Card,Latte - 2.5,
Nina Patel,2024/05/05 15:54,Soho,Card,Cappuccino -  £3.0 ,35706482293995535
Maria Lopez,05th May 2024,Soho,Cash,"Macchiato -  £3.1 , Macchiato -  £3.1 ",
,05/05/2024,Soho,Cash,"Flat White - £2.75, Americano -  2.2 , Flat White -  2.75 ",9.048563148188048e+16
Carlos Reyes,05-05-2024 13:11,Soho,Card,"Macchiato -  £3.1 , Flat White - 2.75",80656926170178977
Oliver Twist,05th May 2024,Soho,Cash,"Mocha -  £3.75 , Espresso - 2.0",
Fatima Yusuf,05/05/2024,Soho,Card,"Latte -  2.5 , Mocha -  3.75 , Flat White -  2.75 ",
,05th May 2024,Soho,Cash,Cappuccino - 3.0,
Chinedu Okafor,05th May 2024,Soho,Card,Americano - £2.2,
Chinedu Okafor,05-05-2024 12:21,Soho,Card,"Mocha -  3.75 , Latte -  2.5 ",58780978011134558
Aisha Bello,05th May 2024,Soho,Cash,"Cappuccino - 3.0, Macchiato - 3.1",79635788115134107
Aisha Bello,2024/05/05 13:29,Soho,Card,Latte - £2.5,
Dave Johnson,05-05-2024 13:04,Soho,Card,"Mocha - £3.75, Mocha - £3.75",
Maria Lopez,05th May 2024,Soho,Cash,Americano -  2.2 ,
Jake Thompson,05-05-2024 15:05,Soho,Card,"Americano -  2.2 , Americano -  2.2 , Mocha - 3.75",77081208833582315
Jake Thompson,05 May 2024 07:54,Soho,Card,Latte - £2.5,
Maria Lopez,05-05-2024 15:53,Soho,Cash,"Espresso -  2.0 , Mocha -  £3.75 , Espresso - £2.0",75373881372411400
Oliver Twist,05-05-2024 10:06,Soho,Card,"Macchiato - £3.1, Espresso -  £2.0 ",30918137055991776
James Carter,05 May 2024 07:53,Soho,Card,"Espresso - £2.0, Espresso -  £2.0 , Flat White - £2.75",
Grace Kim,05th May 2024,Soho,Cash,"Flat White - £2.75, Latte - 2.5, Cappuccino - 3.0",78212557534286245
Aisha Bello,05th May 2024,Soho,Card,"Macchiato -  3.1 , Americano -  2.2 ",
Sophie Dubois,05 May 2024 19:06,Soho,Cash,"Macchiato - £3.1, Flat White - £2.75",5208457697704689
,05-05-2024 18:10,Soho,Cash,Americano -  2.2 ,
Maria Lopez,05/05/2024,Soho,Card,"Cappuccino -  £3.0 , Flat White -  £2.75 , Flat White - £2.75",26917936833343417
Chinedu Okafor,05th May 2024,Soho,Card,"Mocha -  3.75 , Cappuccino - £3.0",88842283227003883
Aisha Bello,05th May 2024,Soho,Card,"Flat White - 2.75, Latte - £2.5",
James Carter,2024/05/05 10:55,Soho,Card,"Cappuccino -  £3.0 , Mocha -  £3.75 , Americano -  £2.2 ",17655190016837952
James Carter,05th May 2024,Soho,Card,Macchiato -  £3.1 ,20790026390366667
Aisha Bello,05 May 2024 13:54,Soho,Card,"Americano -  £2.2 , Mocha -  £3.75 ",
Sophie Dubois,2024/05/05 21:13,Soho,Cash,"Flat White - £2.75, Americano -  £2.2 ",33931092699903558
Fatima Yusuf,05th May 2024,Soho,Cash,Americano - £2.2,5.747861388558006e+16
Grace Kim,05 May 2024 17:00,Soho,Card,"Americano -  £2.2 , Cappuccino - £3.0",41930545251030657
Carlos Reyes,05th May 2024,Soho,Card,"Latte - 2.5, Espresso -  2.0 ",13230487942743838
Fatima Yusuf,05-05-2024 17:05,Soho,Cash,"Mocha - £3.75, Americano - 2.2",
Maria Lopez,05 May 2024 12:53,Soho,Cash,"Cappuccino - £3.0, Americano -  £2.2 ",79767284790619015
Fatima Yusuf,05th May 2024,Soho,Card,Latte - £2.5,
Fatima Yusuf,05 May 2024 22:07,Soho,Cash,"Latte - £2.5, Mocha - 3.75",44553156400382052
Chen Wei,05 May 2024 13:09,Soho,Cash,"Latte - 2.5, Latte - 2.5, Macchiato -  £3.1 ",85521662286744350
Sophie Dubois,05-05-2024 11:22,Soho,Card,"Espresso -  2.0 , Espresso - £2.0",58849697721676457
