Customer Name,Date/Time,Branch,Payment Type,Drinks Ordered,Card Number
James Carter,2024/05/05 09:14,Brixton,Card,"Mocha -  £3.75 , Americano -  £2.2 , Mocha -  3.75 ",
Leila Ahmed,05 May 2024 07:01,Brixton,Card,"Latte -  2.5 , Espresso - £2.0, Flat White - 2.75",85522494296386602
Carlos Reyes,05-05-2024 13:13,Brixton,Card,"Espresso - £2.0, Latte -  £2.5 , Latte - 2.5",
Aisha Bello,05th May 2024,Brixton,Card,"Espresso - 2.0, Macchiato -  £3.1 ",6.431197394261724e+16
James Carter,05 May 2024 21:22,Brixton,Card,"Flat White - 2.75, Espresso -  £2.0 , Latte -  2.5 ",
Aisha Bello,2024/05/05 10:53,Brixton,Card,"Macchiato -  3.1 , Flat White -  2.75 , Americano -  2.2 ",20278735390690095
Maria Lopez,05/05/2024,Brixton,Cash,"Latte - 2.5, Mocha -  3.75 , Macchiato -  £3.1 ",8.720240872213686e+16
Fatima Yusuf,05th May 2024,Brixton,Cash,"Cappuccino - £3.0, Latte - 2.5",
Leila Ahmed,05 May 2024 07:24,Brixton,Card,"Macchiato -  3.1 , Americano - 2.2",3.618549492225486e+16
Nina Patel,2024/05/05 17:32,Brixton,Cash,"Mocha - £3.75, Americano -  2.2 , Latte - £2.5",5.691124469371658e+16
Dave Johnson,05/05/2024,Brixton,Card,"Latte - 2.5, Americano -  £2.2 , Macchiato -  £3.1 ",87118073083517820
Sophie Dubois,2024/05/05 14:18,Brixton,Cash,"Cappuccino -  £3.0 , Cappuccino - £3.0, Americano -  £2.2 ",
Nina Patel,05th May 2024,Brixton,Card,"Flat White -  £2.75 , Espresso - £2.0",346950835278725
Anna Smith,05/05/2024,Brixton,Cash,"Latte - 2.5, Flat White -  2.75 ",
James Carter,05th May 2024,Brixton,Card,"Americano -  2.2 , Macchiato -  3.1 , Macchiato - £3.1",92788302939833726
Chen Wei,05th May 2024,Brixton,Cash,"Mocha - £3.75, Cappuccino -  £3.0 ",33638228412354518
Carlos Reyes,05th May 2024,Brixton,Cash,"Latte - £2.5, Americano - 2.2",
Jake Thompson,2024/05/05 15:45,Brixton,Card,Flat White - £2.75,
Dave Johnson,05/05/2024,Brixton,Card,"Cappuccino -  3.0 , Espresso -  £2.0 ",56111935198827201
Chinedu Okafor,05th May 2024,Brixton,Cash,Espresso - £2.0,70153338242468934
Fatima Yusuf,05 May 2024 09:30,Brixton,Card,"Cappuccino -  3.0 , Espresso -  2.0 , Americano - 2.2",93763915472462703
Chinedu Okafor,05 May 2024 07:23,Brixton,Card,"Espresso - £2.0, Flat White - £2.75",
Oliver Twist,05-05-2024 13:05,Brixton,Cash,Latte - 2.5,
Dave Johnson,05/05/2024,Brixton,Cash,"Cappuccino -  £3.0 , Cappuccino -  £3.0 ",8788442230780137.0
Grace Kim,05/05/2024,Brixton,Card,Macchiato -  £3.1 ,
Leila Ahmed,05th May 2024,Brixton,Card,"Americano -  2.2 , Mocha -  £3.75 ",
James Carter,05 May 2024 16:11,Brixton,Cash,"Americano - £2.2, Flat White -  £2.75 , Cappuccino -  3.0 ",89144676303813027
Aisha Bello,05/05/2024,Brixton,Cash,"Espresso - £2.0, Flat White - 2.75",
Chinedu Okafor,05th May 2024,Brixton,Cash,"Cappuccino - £3.0, Espresso - £2.0, Cappuccino -  £3.0 ",13666681156622476
Leila Ahmed,05/05/2024,Brixton,Cash,Latte - £2.5,
Jake Thompson,05-05-2024 09:56,Brixton,Cash,"Latte - 2.5, Macchiato -  £3.1 , Espresso -  2.0 ",
Nina Patel,05 May 2024 19:57,Brixton,Card,"Macchiato - £3.1, Macchiato -  £3.1 ",90498259470081416
Carlos Reyes,05-05-2024 09:15,Brixton,Card,"Americano - 2.2, Latte - £2.5, Mocha -  £3.75 ",8456353738988724
Leila Ahmed,05/05/2024,Brixton,Cash,"Flat White -  £2.75 , Mocha - 3.75",56283233082252946
Oliver Twist,05-05-2024 12:06,Brixton,Card,"Flat White - £2.75, Mocha -  3.75 , Flat White -  2.75 ",
,05th May 2024,Brixton,Cash,"Macchiato - £3.1, Americano -  £2.2 , Flat White - £2.75",38806829051655548
,05-05-2024 09:04,Brixton,Cash,Macchiato - 3.1,70032207896459785
