Customer Name,Date/Time,Branch,Payment Type,Drinks Ordered,Card Number
Nina Patel,06/05/2024,Richmond,Cash,"Cappuccino - £3.0, Americano - 2.2",30050233182651295
Aisha Bello,06/05/2024,Richmond,Card,"Espresso -  2.0 , Americano - £2.2",63432324257863033
,06th May 2024,Richmond,Card,Americano - 2.2,
Anna Smith,06th May 2024,Richmond,Card,"Mocha - 3.75, Latte -  £2.5 , Americano -  2.2 ",41954506182173634
Dave Johnson,06-05-2024 22:26,Richmond,Cash,"Flat White -  £2.75 , Latte - £2.5, Cappuccino -  £3.0 ",
Grace Kim,06/05/2024,Richmond,Cash,"Macchiato - 3.1, Flat White -  £2.75 ",
Grace Kim,06th May 2024,Richmond,Card,"Mocha - £3.75, Cappuccino - 3.0, Macchiato -  £3.1 ",18106952623013469
Sophie Dubois,06th May 2024,Richmond,Card,"Macchiato - 3.1, Americano - £2.2, Espresso - 2.0",67569991863452596
Jake Thompson,06th May 2024,Richmond,Card,"Flat White -  £2.75 , Macchiato -  £3.1 ",
Oliver Twist,06-05-2024 12:41,Richmond,Card,"Espresso - £2.0, Mocha -  3.75 , Mocha -  3.75 ",
Sophie Dubois,06-05-2024 21:38,Richmond,Cash,Americano - £2.2,
James Carter,06 May 2024 11:06,Richmond,Cash,Mocha - 3.75,6998593753674231
Anna Smith,06-05-2024 12:30,Richmond,Cash,"Flat White -  £2.75 , Americano - 2.2",
Jake Thompson,06th May 2024,Richmond,Cash,Macchiato -  £3.1 ,
Aisha Bello,06 May 2024 14:07,Richmond,Card,Espresso - £2.0,89679983680673472
Grace Kim,06 May 2024 08:35,Richmond,Cash,"Americano - £2.2, Latte -  2.5 ",76779082241102457
James Carter,06th May 2024,Richmond,Card,Flat White - £2.75,6.2696731262402744e+16
Grace Kim,06th May 2024,Richmond,Cash,"Cappuccino - 3.0, Americano -  £2.2 ",83903031004117255
Grace Kim,06th May 2024,Richmond,Cash,"Macchiato -  £3.1 , Latte - £2.5",95447268407464759
Dave Johnson,06/05/2024,Richmond,Card,"Cappuccino -  £3.0 , Macchiato - 3.1",
Anna Smith,06-05-2024 17:50,Richmond,Card,"Flat White -  £2.75 , Latte - £2.5",64284774603118874
Leila Ahmed,06th May 2024,Richmond,Cash,Cappuccino -  £3.0 ,
Leila Ahmed,06-05-2024 15:41,Richmond,Cash,"Latte - £2.5, Flat White -  £2.75 ",
Dave Johnson,06th May 2024,Richmond,Card,"Flat White -  2.75 , Macchiato - £3.1, Flat White -  £2.75 ",77359678427666112
Chinedu Okafor,06th May 2024,Richmond,Card,"Latte - £2.5, Latte - £2.5",8.872249071801784e+16
Jake Thompson,06-05-2024 11:26,Richmond,Cash,"Flat White - £2.75, Espresso -  2.0 ",7.057423922177247e+16
Maria Lopez,06 May 2024 20:59,Richmond,Cash,Mocha -  £3.75 ,40135717637754914
Dave Johnson,06th May 2024,Richmond,Card,"Macchiato - £3.1, Americano - £2.2, Flat White - £2.75",1.6391062215221548e+16
Leila Ahmed,06 May 2024 08:37,Richmond,Card,"Macchiato - £3.1, Americano - 2.2, Espresso -  £2.0 ",33501429527211621
Leila Ahmed,06-05-2024 13:26,Richmond,Cash,Americano -  2.2 ,
,06th May 2024,Richmond,Cash,"Macchiato - £3.1, Latte - £2.5",4.324007155447835e+16
Leila Ahmed,06 May 2024 09:49,Richmond,Cash,Macchiato -  3.1 ,
Sophie Dubois,06-05-2024 09:15,Richmond,Cash,"Mocha - 3.75, Mocha - £3.75, Cappuccino - £3.0",
James Carter,2024/05/06 09:13,Richmond,Cash,"Cappuccino -  £3.0 , Espresso - £2.0",
