Customer Name,Date/Time,Branch,Payment Type,Drinks Ordered,Card Number
Anna Smith,07 May 2024 14:58,Richmond,Cash,Espresso -  £2.0 ,30729665318082022
Nina Patel,07th May 2024,Richmond,Cash,"Latte -  £2.5 , Mocha -  £3.75 , Latte -  2.5 ",
Jake Thompson,2024/05/07 14:44,Richmond,Cash,"Espresso -  2.0 , Cappuccino - £3.0",50291761507777140
Maria Lopez,07-05-2024 13:52,Richmond,Cash,"Americano -  2.2 , Macchiato -  3.1 , Mocha -  £3.75 ",92905012925218947
Fatima Yusuf,07/05/2024,Richmond,Cash,"Espresso - 2.0, Americano -  2.2 , Americano -  £2.2 ",16607017159205676
Aisha Bello,07/05/2024,Richmond,Card,"Americano -  £2.2 , Americano - £2.2, Espresso -  2.0 ",69922285714248848
Chinedu Okafor,2024/05/07 09:29,Richmond,Card,Espresso - £2.0,
Fatima Yusuf,07/05/2024,Richmond,Cash,"Espresso -  £2.0 , Espresso - 2.0, Cappuccino -  £3.0 ",
Carlos Reyes,07-05-2024 08:07,Richmond,Card,"Cappuccino - £3.0, Flat White - 2.75, Mocha -  3.75 ",
Chinedu Okafor,07/05/2024,Richmond,Card,"Mocha - 3.75, Cappuccino - £3.0, Flat White - 2.75",
Carlos Reyes,07 May 2024 19:06,Richmond,Card,"Espresso -  £2.0 , Latte -  2.5 , Mocha -  £3.75 ",96136204120272060
Grace Kim,07-05-2024 12:30,Richmond,Cash,"Mocha -  3.75 , Espresso - £2.0, Mocha - 3.75",47778593936047347
Jake Thompson,07-05-2024 14:41,Richmond,Card,Mocha - £3.75,
Maria Lopez,07 May 2024 22:09,Richmond,Card,"Americano - 2.2, Espresso -  2.0 , Cappuccino - 3.0",
Grace Kim,07 May 2024 11:51,Richmond,Card,Latte - £2.5,
Fatima Yusuf,07th May 2024,Richmond,Card,Macchiato - £3.1,26685796871598207
Fatima Yusuf,07/05/2024,Richmond,Cash,Espresso - £2.0,9.114750457657008e+16
Oliver Twist,2024/05/07 18:22,Richmond,Card,"Mocha -  3.75 , Latte -  2.5 , Americano - £2.2",
James Carter,2024/05/07 09:58,Richmond,Cash,"Macchiato -  3.1 , Espresso -  2.0 ",
Grace Kim,2024/05/07 17:19,Richmond,Card,"Macchiato - 3.1, Latte - 2.5",99424680128956039
Jake Thompson,07/05/2024,Richmond,Cash,"Mocha -  3.75 , Americano - 2.2",
Anna Smith,07-05-2024 21:10,Richmond,Card,Americano -  2.2 ,
Sophie Dubois,07-05-2024 08:19,Richmond,Card,Flat White -  2.75 ,32062008410041498
Nina Patel,2024/05/07 21:12,Richmond,Card,"Flat White - 2.75, Latte -  £2.5 , Espresso -  2.0 ",7153959925229150
Maria Lopez,07 May 2024 16:55,Richmond,Cash,"Americano - 2.2, Cappuccino - £3.0",65958136805624414
Dave Johnson,07th May 2024,Richmond,Cash,"Flat White - £2.75, Flat White -  2.75 ",
Fatima Yusuf,07th May 2024,Richmond,Cash,Americano -  2.2 ,
James Carter,07th May 2024,Richmond,Card,"Flat White - £2.75, Americano - £2.2, Latte - 2.5",75952447389174544
Nina Patel,07-05-2024 22:13,Richmond,Card,"Cappuccino - 3.0, Cappuccino - £3.0, Cappuccino - £3.0",
Chen Wei,07-05-2024 12:04,Richmond,Card,"Mocha -  £3.75 , Espresso - £2.0",44233639627884839
Chen Wei,07/05/2024,Richmond,Cash,Macchiato -  £3.1 ,36820962751348736
Grace Kim,07-05-2024 11:01,Richmond,Cash,"Espresso - £2.0, Espresso - 2.0, Cappuccino - £3.0",10490667664760751
Grace Kim,07th May 2024,Richmond,Card,"Flat White -  £2.75 , Mocha -  3.75 ",10698813407969259
Dave Johnson,07-05-2024 20:00,Richmond,Card,"Mocha - 3.75, Mocha - 3.75, Macchiato - £3.1",
Aisha Bello,07/05/2024,Richmond,Card,"Flat White -  £2.75 , Macchiato -  £3.1 , Americano - 2.2",9.341046282216709e+16
Leila Ahmed,2024/05/07 09:43,Richmond,Card,"Espresso -  £2.0 , Mocha - 3.75",17623920196662152
Jake Thompson,2024/05/07 18:05,Richmond,Cash,Latte - £2.5,
Dave Johnson,07-05-2024 14:20,Richmond,Card,"Americano - £2.2, Flat White - 2.75",63619829755014014
Dave Johnson,07/05/2024,Richmond,Cash,"Macchiato -  £3.1 , Macchiato - £3.1",38323559043062239
Maria Lopez,2024/05/07 21:56,Richmond,Card,Macchiato -  £3.1 ,25207064137689671
Chinedu Okafor,2024/05/07 21:23,Richmond,Card,"Americano - £2.2, Americano - 2.2, Macchiato -  3.1 ",2.8731585401040868e+16
Nina Patel,07/05/2024,Richmond,Cash,"Americano -  2.2 , Macchiato -  £3.1 , Espresso - £2.0",42159148193137089
Chen Wei,07/05/2024,Richmond,Cash,Mocha -  £3.75 ,64198121114503641
Anna Smith,07 May 2024 11:03,Richmond,Cash,Flat White - £2.75,38242158339399758
Dave Johnson,07-05-2024 17:54,Richmond,Card,Latte - £2.5,54124315211298472
Anna Smith,2024/05/07 15:24,Richmond,Card,Macchiato -  3.1 ,
Nina Patel,07 May 2024 22:15,Richmond,Card,Latte - £2.5,
Chinedu Okafor,07th May 2024,Richmond,Card,Macchiato -  £3.1 ,
Chen Wei,07 May 2024 17:58,Richmond,Cash,"Latte - 2.5, Mocha - 3.75",8.700211400209947e+16
Maria Lopez,2024/05/07 16:54,Richmond,Cash,Mocha - £3.75,
Jake Thompson,2024/05/07 11:55,Richmond,Cash,"Cappuccino - £3.0, Mocha -  £3.75 , Flat White - 2.75",
Jake Thompson,07/05/2024,Richmond,Cash,"Mocha -  £3.75 , Flat White - 2.75, Latte -  £2.5 ",10221114687008854
Sophie Dubois,07-05-2024 21:25,Richmond,Cash,"Espresso -  2.0 , Flat White -  2.75 , Espresso - £2.0",89532671258305828
Jake Thompson,07 May 2024 11:14,Richmond,Card,"Latte - £2.5, Cappuccino - £3.0, Latte -  £2.5 ",
Grace Kim,07/05/2024,Richmond,Cash,Americano -  2.2 ,7.452324758297904e+16
Nina Patel,07-05-2024 14:22,Richmond,Cash,Macchiato - £3.1,
