Customer Name,Date/Time,Branch,Payment Type,Drinks Ordered,Card Number
Oliver Twist,10-05-2024 14:44,Richmond,Card,"Latte - £2.5, Cappuccino -  £3.0 , Macchiato -  £3.1 ",45537134320786105
Leila Ahmed,10/05/2024,Richmond,Card,"Mocha -  3.75 , Espresso -  2.0 , Latte - 2.5",
Sophie Dubois,10-05-2024 15:30,Richmond,Cash,"Americano - £2.2, Flat White -  £2.75 , Latte - £2.5",62723648130903465
Oliver Twist,10 May 2024 21:01,Richmond,Cash,"Espresso - £2.0, Latte -  2.5 , Flat White - 2.75",93511752320830538
Jake Thompson,10/05/2024,Richmond,Cash,"Macchiato - 3.1, Latte - 2.5",59105920158374810
Jake Thompson,2024/05/10 09:54,Richmond,Card,"Espresso - 2.0, Latte - £2.5",55392365533518511
Chen Wei,10 May 2024 21:48,Richmond,Card,Americano -  £2.2 ,
Dave Johnson,10 May 2024 22:21,Richmond,Card,"Cappuccino - £3.0, Latte - £2.5",57765630476931090
Sophie Dubois,10/05/2024,Richmond,Cash,"Americano - 2.2, Latte -  £2.5 ",56222367614508118
Dave Johnson,2024/05/10 20:17,Richmond,Cash,"Latte -  £2.5 , Macchiato -  £3.1 , Macchiato -  £3.1 ",21119735752409397
Fatima Yusuf,10-05-2024 09:36,Richmond,Cash,Flat White -  £2.75 ,76513553213720908
Chinedu Okafor,10 May 2024 10:40,Richmond,Card,"Flat White -  2.75 , Mocha -  3.75 , Americano -  2.2 ",
James Carter,10 May 2024 16:53,Richmond,Cash,"Flat White - 2.75, Mocha - £3.75, Latte -  2.5 ",
Maria Lopez,10th May 2024,Richmond,Card,"Flat White - 2.75, Macchiato -  3.1 ",10963135991480703
Sophie Dubois,10/05/2024,Richmond,Cash,"Americano - 2.2, Mocha - £3.75, Macchiato -  £3.1 ",85343872971843332
Aisha Bello,10th May 2024,Richmond,Cash,"Mocha -  3.75 , Mocha - £3.75, Mocha - £3.75",26211451948278744
Carlos Reyes,10-05-2024 14:30,Richmond,Cash,Americano - £2.2,82205904954756341
Sophie Dubois,10 May 2024 09:31,Richmond,Cash,"Americano -  £2.2 , Macchiato -  £3.1 , Espresso - 2.0",35928810337460866
Grace Kim,2024/05/10 08:33,Richmond,Cash,"Americano - £2.2, Cappuccino -  3.0 ",7484917803242913
Maria Lopez,10th May 2024,Richmond,Cash,Espresso - £2.0,7731431194738143.0
Anna Smith,10-05-2024 21:38,Richmond,Cash,Latte -  £2.5 ,14343984388110285
Chen Wei,10 May 2024 10:24,Richmond,Cash,"Espresso -  £2.0 , Mocha - £3.75, Latte - 2.5",
Chinedu Okafor,10 May 2024 13:27,Richmond,Cash,Flat White - £2.75,
Nina Patel,10-05-2024 20:56,Richmond,Cash,"Macchiato -  £3.1 , Flat White - 2.75",32269581801743384
Jake Thompson,10 May 2024 16:23,Richmond,Card,"Espresso -  £2.0 , Espresso - 2.0, Mocha - £3.75",83272206650572267
Carlos Reyes,10-05-2024 11:12,Richmond,Card,Flat White -  £2.75 ,
Anna Smith,10/05/2024,Richmond,Cash,"Flat White -  2.75 , Flat White - £2.75, Mocha -  3.75 ",76597450253082263
,2024/05/10 07:08,Richmond,Card,Cappuccino -  3.0 ,
Dave Johnson,10/05/2024,Richmond,Card,"Cappuccino - £3.0, Cappuccino - £3.0, Mocha -  3.75 ",50315933059141914
Oliver Twist,10 May 2024 22:25,Richmond,Cash,"Cappuccino - £3.0, Americano - £2.2, Americano - £2.2",
Grace Kim,10/05/2024,Richmond,Card,Espresso -  2.0 ,
Chen Wei,10/05/2024,Richmond,Card,"Espresso -  £2.0 , Espresso -  2.0 , Latte -  £2.5 ",
Maria Lopez,10th May 2024,Richmond,Cash,"Cappuccino - £3.0, Americano - £2.2",60204737915222382
Anna Smith,10-05-2024 20:00,Richmond,Cash,"Flat White - £2.75, Macchiato -  3.1 ",4.573949754071143e+16
,2024/05/10 22:38,Richmond,Cash,"Latte - £2.5, Americano -  2.2 ",
Leila Ahmed,10th May 2024,Richmond,Cash,"Flat White - £2.75, Latte - £2.5",8.254154501785294e+16
James Carter,10-05-2024 10:08,Richmond,Card,"Latte -  £2.5 , Flat White -  £2.75 ",24027968018916923
Carlos Reyes,10/05/2024,Richmond,Card,"Espresso - £2.0, Americano - £2.2, Mocha -  £3.75 ",86344927589245003
Jake Thompson,2024/05/10 08:49,Richmond,Cash,Cappuccino - £3.0,
Chinedu Okafor,2024/05/10 14:02,Richmond,Card,"Latte - 2.5, Cappuccino - 3.0, Espresso -  2.0 ",
James Carter,10-05-2024 10:50,Richmond,Card,Latte -  £2.5 ,14861780777076149
Carlos Reyes,10th May 2024,Richmond,Cash,"Flat White -  2.75 , Americano - 2.2",10889604921357265
Aisha Bello,10/05/2024,Richmond,Card,"Americano -  £2.2 , Cappuccino - £3.0, Macchiato - £3.1",41271695898761559
Grace Kim,10 May 2024 13:38,Richmond,Card,"Americano - 2.2, Latte - £2.5",
Chinedu Okafor,10th May 2024,Richmond,Cash,"Americano - £2.2, Mocha - £3.75",
Chinedu Okafor,2024/05/10 07:20,Richmond,Cash,"Espresso - £2.0, Cappuccino -  £3.0 , Cappuccino - £3.0",
Sophie Dubois,10 May 2024 09:54,Richmond,Card,Americano -  2.2 ,85538510781266847
Oliver Twist,10-05-2024 19:00,Richmond,Card,"Macchiato - £3.1, Flat White - £2.75",95685492328828434
Sophie Dubois,10 May 2024 21:17,Richmond,Card,"Flat White -  £2.75 , Flat White -  £2.75 ",13283086964242484
,10/05/2024,Richmond,Cash,Latte -  £2.5 ,9.91981488688959e+16
Oliver Twist,10 May 2024 22:25,Richmond,Cash,"Americano -  2.2 , Macchiato - £3.1, Flat White -  £2.75 ",29857405304307039
James Carter,10-05-2024 20:20,Richmond,Cash,"Cappuccino -  3.0 , Espresso - £2.0",
Carlos Reyes,10th May 2024,Richmond,Card,"Americano - 2.2, Americano -  £2.2 , Cappuccino - 3.0",
Dave Johnson,10/05/2024,Richmond,Cash,"Macchiato -  £3.1 , Espresso -  2.0 , Flat White - £2.75",11742108786953796
Maria Lopez,10/05/2024,Richmond,Card,"Flat White -  £2.75 , Macchiato - 3.1",46060166961547379
Oliver Twist,10/05/2024,Richmond,Cash,"Cappuccino - £3.0, Espresso - £2.0, Latte -  £2.5 ",16059553841869063
Carlos Reyes,10 May 2024 20:25,Richmond,Cash,"Americano -  £2.2 , Flat White - 2.75",
Oliver Twist,10 May 2024 18:51,Richmond,Cash,"Espresso -  £2.0 , Latte -  2.5 ",25387470097000154
James Carter,10 May 2024 07:48,Richmond,Card,Mocha -  3.75 ,
Chinedu Okafor,2024/05/10 11:50,Richmond,Card,"Americano - £2.2, Espresso -  £2.0 , Americano - 2.2",
Dave Johnson,10/05/2024,Richmond,Cash,"Flat White -  £2.75 , Mocha - 3.75, Mocha - 3.75",
Chen Wei,10/05/2024,Richmond,Cash,"Flat White -  £2.75 , Flat White - 2.75, Latte - £2.5",92606528054783424
Aisha Bello,10/05/2024,Richmond,Cash,"Cappuccino -  £3.0 , Espresso - 2.0, Macchiato -  3.1 ",
Maria Lopez,2024/05/10 09:18,Richmond,Cash,"Macchiato - £3.1, Espresso -  £2.0 , Espresso -  £2.0 ",3027825482641633
Anna Smith,10/05/2024,Richmond,Cash,Espresso -  £2.0 ,
