Customer Name,Date/Time,Branch,Payment Type,Drinks Ordered,Card Number
James Carter,29/04/2024,Richmond,Cash,"Flat White - £2.75, Espresso - £2.0, Flat White - 2.75, Espresso - £2.0",
Anna Smith,29 Apr 2024 17:15,Richmond,Cash,Macchiato - 3.1,
Jake Thompson,29th April 2024,Richmond,Card,"Latte - £2.5, Macchiato -  3.1 ",25430924921024693
Leila Ahmed,29-04-2024 12:30,Richmond,Cash,"Americano -  2.2 , Americano -  2.2 , Mocha -  3.75 ",
Grace Kim,29th April 2024,Richmond,Card,"Latte - 2.5, Macchiato - 3.1",76218323252324585
Anna Smith,29/04/2024,Richmond,Cash,"Latte -  2.5 , Americano - 2.2",
Jake Thompson,2024/04/29 10:21,Richmond,Card,Mocha - 3.75,83922489404896841
Sophie Dubois,2024/04/29 13:19,Richmond,Card,"Cappuccino -  3.0 , Americano - 2.2, Latte - 2.5",86945632058011580
Grace Kim,29-04-2024 14:03,Richmond,Cash,Latte - £2.5,
Chen Wei,29 Apr 2024 11:23,Richmond,,Mocha - 3.75,
Oliver Twist,29th April 2024,Richmond,Cash,Flat White - £2.75,
Oliver Twist,2024/04/29 18:29,Richmond,Card,Cappuccino - £3.0,1.938731625764703e+00+15
,29/04/2024,Richmond,Cash,"Espresso - £2.0, Flat White - £2.75",
Carlos Reyes,29th April 2024,Richmond,Card,Mocha -  3.75 ,78837839356875060
Oliver Twist,2024/04/29 12:47,Richmond,Card,"Flat White - 2.75, Latte - 2.5",4.737504545806527e+00+16
Anna Smith,29-04-2024 13:19,Richmond,Cash,"Americano - £2.2, Americano - 2.2",
Jake Thompson,29-04-2024 22:06,Richmond,Cash,Flat White - 2.75,
Dave Johnson,2024/04/29 13:51,Richmond,Cash,"Espresso - £2.0, Mocha - £3.75",
Fatima Yusuf,29-04-2024 17:18,Richmond,Card,"Cappuccino - 3.0, Americano -  2.2 , Cappuccino -  3.0 ",36828335900900086
Leila Ahmed,29/04/2024,Richmond,Cash,"Americano - 2.2, Espresso - £2.0",
Anna Smith,29 Apr 2024 11:33,Richmond,Cash,Flat White - 2.75,
Chinedu Okafor,2024/04/29 19:32,Richmond,Card,"Cappuccino - 3.0, Flat White - 2.75",3.189807670569295e+00+16
Maria Lopez,29 Apr 2024 11:52,Richmond,Cash,Americano - £2.2,
Leila Ahmed,29/04/2024,Richmond,Cash,"Cappuccino -  3.0 , Cappuccino -  3.0 ",
James Carter,29/04/2024,Richmond,Card,"Americano - 2.2, Cappuccino -  3.0 ",4.515039239198075e+00+17
Jake Thompson,29th April 2024,Richmond,Cash,"Flat White - 2.75, Latte - 2.5",
Anna Smith,29-04-2024 22:06,Richmond,,"Mocha - £3.75, Espresso - 2.0",
Fatima Yusuf,2024/04/29 17:26,Richmond,Cash,"Macchiato -  3.1 , Mocha - 3.75, Cappuccino -  3.0 ",
Dave Johnson,2024/04/29 16:16,Richmond,Card,"Americano -  2.2 , Flat White -  2.75 , Espresso - 2.0",94407584333233896
Dave Johnson,29-04-2024 17:34,Richmond,Cash,"Cappuccino -  3.0 , Mocha - 3.75",
Aisha Bello,2024/04/29 15:02,Richmond,Card,"Mocha - 3.75, Espresso - £2.0, Americano - 2.2",12223738202351458
Nina Patel,29-04-2024 17:44,Richmond,Cash,"Flat White -  2.75 , Americano - 2.2, Cappuccino -  3.0 ",
Maria Lopez,29 Apr 2024 09:12,Richmond,Cash,Americano -  2.2 ,
Fatima Yusuf,29th April 2024,Richmond,Cash,"Espresso - £2.0, Macchiato - £3.1",
Dave Johnson,2024/04/29 20:47,Richmond,Cash,"Espresso - £2.0, Cappuccino - 3.0",
Leila Ahmed,29-04-2024 10:21,Richmond,Card,Flat White -  2.75 ,95372211139279385
Aisha Bello,29/04/2024,Richmond,Cash,"Americano - £2.2, Latte -  2.5 ",
Carlos Reyes,29th April 2024,Richmond,Card,"Latte - 2.5, Espresso - 2.0",48236395697488337
Carlos Reyes,29th April 2024,Richmond,Card,Espresso - 2.0,7.808677470501386e+00+15
Sophie Dubois,29-04-2024 20:48,Richmond,Cash,"Latte -  2.5 , Macchiato - £3.1, Espresso - £2.0",
Carlos Reyes,29th April 2024,Richmond,Card,Macchiato - £3.1,4.860139483778773e+00+17
Grace Kim,29th April 2024,Richmond,Card,"Americano - 2.2, Latte - 2.5",10298987928686663
Maria Lopez,29-04-2024 10:20,Richmond,Card,"Latte -  2.5 , Espresso - £2.0, Cappuccino -  3.0 ",9.567050605938611e+00+17
Aisha Bello,29th April 2024,Richmond,Card,"Macchiato - 3.1, Mocha - £3.75",60032051976996539
Sophie Dubois,2024/04/29 17:34,Richmond,Cash,Flat White - 2.75,
Carlos Reyes,2024/04/29 20:01,Richmond,Cash,"Cappuccino - £3.0, Latte -  2.5 , Flat White - 2.75",
Sophie Dubois,2024/04/29 12:27,Richmond,Cash,"Macchiato - 3.1, Americano - £2.2, Americano - 2.2",
Grace Kim,2024/04/29 14:09,Richmond,Card,Macchiato - 3.1,10580706330585998
James Carter,2024/04/29 16:21,Richmond,Cash,"Flat White - £2.75, Espresso - £2.0, Cappuccino -  3.0 ",
Anna Smith,29 Apr 2024 07:20,Richmond,Card,Mocha - £3.75,
Dave Johnson,29/04/2024,Richmond,Card,Espresso - 2.0,2939390784333776
Leila Ahmed,29-04-2024 11:24,Richmond,Cash,"Cappuccino - £3.0, Espresso - £2.0",
Carlos Reyes,29 Apr 2024 09:37,Richmond,Cash,"Flat White - 2.75, Flat White -  2.75 ",
Chen Wei,29/04/2024,Richmond,Cash,Latte -  2.5 ,
