Customer Name,Date/Time,Branch,Payment Type,Drinks Ordered,Card Number
Nina Patel,2024/04/25 18:26,Brixton,Card,Flat White - ,10732747842879451
Chen Wei,25th April 2024,Brixton,Cash,"Cappuccino -  3.0 , Cappuccino - 3.0",
Jake Thompson,25 Apr 2024 17:07,Brixton,Card,"Americano -  2.2 , Espresso - 2.0",90491930440794787
,25/04/2024,Brixton,Cash,"Latte -  2.5 , Cappuccino -  3.0 ",
Nina Patel,25th April 2024,Brixton,Card,"Macchiato -  3.1 , Latte -  2.5 ",2.352487078687914e+00+15
Nina Patel,2024/04/25 10:09,Brixton,Cash,Flat White -  2.75 ,
Fatima Yusuf,25-04-2024 18:20,Brixton,Card,Invalid Order String,31113401088965685
Jake Thompson,25 Apr 2024 13:08,Brixton,Card,"Cappuccino - £3.0, Latte -  2.5 , Cappuccino - £3.0",3.987330167791465e+00+16
Carlos Reyes,25 Apr 2024 20:29,Brixton,Cash,"Espresso - 2.0, Latte - £2.5",
Maria Lopez,25th April 2024,Brixton,Card,"Macchiato - 3.1, Espresso - £2.0, Espresso - £2.0",8.331141685202297e+00+16
Anna Smith,25th April 2024,Brixton,Cash,Latte - £2.5,
Fatima Yusuf,25th April 2024,Brixton,Cash,"Espresso - 2.0, Mocha - £3.75",
Chen Wei,25/04/2024,Brixton,Cash,"Flat White - £2.75, Cappuccino - £3.0",
Nina Patel,2024/04/25 08:18,Brixton,Cash,"Espresso - £2.0, Americano -  2.2 ",
Nina Patel,25/04/2024,Brixton,Cash,"Americano - 2.2, Cappuccino - £3.0",
Jake Thompson,25 Apr 2024 07:18,Brixton,Card,Americano - 2.2,98534727139288918
Nina Patel,25/04/2024,Brixton,Cash,"Cappuccino -  3.0 , Flat White -  2.75 ",
Aisha Bello,25/04/2024,Brixton,Card,"Mocha -  3.75 , Mocha -  3.75 , Macchiato - £3.1, Cappuccino - 3.0",60364825811022716
Chinedu Okafor,25-04-2024 11:25,Brixton,Cash,"Macchiato - 3.1, Macchiato - 3.1",
Chinedu Okafor,25-04-2024 08:40,Brixton,Card,Cappuccino - 3.0,84366357664809290
Chen Wei,25th April 2024,Brixton,Cash,"Mocha -  3.75 , Latte - £2.5",
Chen Wei,25-04-2024 10:12,Brixton,Card,Cappuccino - £3.0,93413269242266606
Chen Wei,2024/04/25 18:39,Brixton,Card,"Cappuccino - 3.0, Mocha - 3.75, Espresso - 2.0",90865316466187334
Fatima Yusuf,25/04/2024,Brixton,Card,"Cappuccino - 3.0, Flat White - £2.75",6180495199030561
Dave Johnson,25/04/2024,Brixton,Card,"Espresso - 2.0, Espresso - 2.0",50676424338718809
Grace Kim,2024/04/25 10:11,Brixton,Card,Americano - 2.2,85474441406011286
Aisha Bello,25-04-2024 13:03,Brixton,Card,"Cappuccino - 3.0, Flat White - 2.75, Americano - £2.2, Macchiato - £3.1",1.863099491020217e+00+17
Carlos Reyes,2024/04/25 12:37,Brixton,Card,Cappuccino -  3.0 ,67530515795117966
Carlos Reyes,25-04-2024 17:40,Brixton,Cash,"Americano - 2.2, Flat White -  2.75 , Flat White - £2.75, Macchiato - 3.1",
Carlos Reyes,2024/04/25 18:51,Brixton,Cash,"Flat White - £2.75, Espresso - £2.0",
Nina Patel,25th April 2024,Brixton,Card,"Americano -  2.2 , Mocha - 3.75",6.100673457268830e+00+16
Aisha Bello,2024/04/25 18:38,Brixton,Cash,"Macchiato - £3.1, Flat White - 2.75, Espresso - 2.0",
Fatima Yusuf,25/04/2024,Brixton,Card,Cappuccino - 3.0,46452618728863773
Nina Patel,25-04-2024 20:38,Brixton,Cash,"Mocha - 3.75, Flat White - £2.75",
Nina Patel,25-04-2024 17:39,Brixton,,Latte -  2.5 ,45755706773998610
Carlos Reyes,25 Apr 2024 13:56,Brixton,Cash,"Mocha - £3.75, Cappuccino -  3.0 , Espresso - 2.0, Espresso - 2.0",
Leila Ahmed,2024/04/25 09:20,Brixton,Card,Espresso - £2.0,
,2024/04/25 21:46,Brixton,Card,Americano - £2.2,9.361574317432211e+00+17
Jake Thompson,2024/04/25 12:13,Brixton,Card,"Latte - 2.5, Americano -  2.2 , Americano -  2.2 , Latte - 2.5",55137346580530337
Carlos Reyes,2024/04/25 16:58,Brixton,Card,Latte - £2.5,92573875338316886
Maria Lopez,2024/04/25 18:26,Brixton,Cash,"Cappuccino -  3.0 , Americano - £2.2",
Leila Ahmed,2024/04/25 16:24,Brixton,Card,Mocha - 3.75,
Aisha Bello,25-04-2024 13:13,Brixton,Cash,Mocha -  3.75 ,
Nina Patel,2024/04/25 09:56,Brixton,Card,Macchiato - 3.1,27599596604375231
Jake Thompson,25 Apr 2024 13:30,Brixton,Cash,Macchiato -  3.1 ,
,25th April 2024,Brixton,Card,"Espresso - 2.0, Cappuccino - 3.0",81143914209886242
Dave Johnson,25/04/2024,Brixton,Cash,"Latte - £2.5, Americano -  2.2 , Latte - 2.5",
Leila Ahmed,25-04-2024 21:15,Brixton,Card,Latte -  2.5 ,
