Customer Name,Date/Time,Branch,Payment Type,Drinks Ordered,Card Number
Carlos Reyes,01/05/2024,Richmond,Cash,Latte - 2.5,
Dave Johnson,01 May 2024 10:13,Richmond,Cash,"Cappuccino - 3.0, Cappuccino - £3.0",
Grace Kim,2024/05/01 08:20,Richmond,Card,"Espresso - £2.0, Flat White -  2.75 ",87409519360267153
Chinedu Okafor,01/05/2024,Richmond,Card,"Cappuccino - £3.0, Mocha -  3.75 , Espresso - £2.0",17766498879027269
Nina Patel,01/05/2024,Richmond,Cash,"Americano - 2.2, Mocha - £3.75",
Maria Lopez,2024/05/01 07:01,Richmond,Card,"Cappuccino - 3.0, Mocha - 3.75, Espresso - 2.0",7.526646822618797e+00+16
Fatima Yusuf,2024/05/01 08:28,Richmond,Cash,Americano - £2.2,
Chen Wei,01/05/2024,Richmond,Cash,"Macchiato -  3.1 , Macchiato - £3.1",
Chinedu Okafor,2024/05/01 10:54,Richmond,Cash,"Cappuccino - 3.0, Latte - 2.5, Mocha - £3.75",
Nina Patel,1th May 2024,Richmond,Cash,"Cappuccino - £3.0, Espresso - 2.0",
Chen Wei,01/05/2024,Richmond,Card,Cappuccino - £3.0,
James Carter,2024/05/01 11:03,Richmond,Card,Cappuccino - 3.0,3.126200736166904e+00+16
Aisha Bello,01-05-2024 08:10,Richmond,Cash,Espresso - 2.0,
Chen Wei,01/05/2024,Richmond,Cash,"Mocha -  3.75 , Cappuccino - 3.0",
Jake Thompson,2024/05/01 13:44,Richmond,Card,Flat White -  2.75 ,
Chen Wei,1th May 2024,Richmond,Cash,"Mocha - 3.75, Cappuccino - £3.0, Flat White -  2.75 ",
Fatima Yusuf,01-05-2024 13:06,Richmond,Card,Americano -  2.2 ,5.388027551135975e+00+17
Leila Ahmed,01/05/2024,Richmond,Card,"Flat White -  2.75 , Macchiato - 3.1",48017881703520065
Dave Johnson,2024/05/01 08:36,Richmond,Card,"Latte - £2.5, Mocha - 3.75",84516685292602238
James Carter,2024/05/01 17:28,Richmond,Card,"Americano - 2.2, Cappuccino -  3.0 ",5.405589874901910e+00+16
Chinedu Okafor,01/05/2024,Richmond,Card,Espresso - 2.0,76829336628751265
Oliver Twist,2024/05/01 21:53,Richmond,Cash,"Flat White - £2.75, Latte -  2.5 ",
Fatima Yusuf,01-05-2024 21:49,Richmond,Cash,Cappuccino - £3.0,
Fatima Yusuf,1th May 2024,Richmond,Cash,"Latte - £2.5, Espresso - 2.0, Latte - 2.5",
Fatima Yusuf,2024/05/01 17:38,Richmond,Cash,Flat White -  2.75 ,
Jake Thompson,2024/05/01 14:05,Richmond,Card,"Latte - £2.5, Latte - £2.5",5.800558961541928e+00+17
Aisha Bello,01/05/2024,Richmond,Cash,"Macchiato - £3.1, Macchiato - 3.1",
Anna Smith,2024/05/01 12:58,Richmond,Card,"Flat White -  2.75 , Flat White -  2.75 ",6.355826080357990e+00+15
,2024/05/01 14:22,Richmond,Card,"Americano - 2.2, Espresso - 2.0",52640778121993024
Sophie Dubois,2024/05/01 08:32,Richmond,Card,"Flat White - £2.75, Macchiato - £3.1",89946853214573060
Aisha Bello,01/05/2024,Richmond,Cash,"Macchiato - £3.1, Mocha - 3.75, Cappuccino - £3.0",
Nina Patel,01-05-2024 12:04,Richmond,Card,Americano - £2.2,75384032059711337
Sophie Dubois,01/05/2024,Richmond,Card,"Espresso - £2.0, Latte -  2.5 , Flat White -  2.75 ",6980033115040297
Chinedu Okafor,2024/05/01 19:56,Richmond,Card,"Latte -  2.5 , Espresso - 2.0",70690465851531370
Leila Ahmed,2024/05/01 12:13,Richmond,,"Cappuccino -  3.0 , Macchiato - 3.1",
Nina Patel,2024/05/01 13:26,Richmond,Cash,Espresso - 2.0,
James Carter,2024/05/01 22:50,Richmond,Card,"Americano -  2.2 , Americano - £2.2",75092674372209659
Maria Lopez,01/05/2024,Richmond,Card,"Macchiato -  3.1 , Macchiato - 3.1, Mocha - 3.75",23960692004935234
Leila Ahmed,01/05/2024,Richmond,Card,"Mocha - 3.75, Latte -  2.5 ",46427962691194691
Aisha Bello,1th May 2024,Richmond,Card,Invalid Order String,56324798710757983
Maria Lopez,01/05/2024,Richmond,Cash,"Flat White -  2.75 , Mocha - £3.75, Macchiato - 3.1",
Chen Wei,2024/05/01 11:19,Richmond,Cash,"Espresso - 2.0, Latte - 2.5",
Dave Johnson,01-05-2024 19:13,Richmond,Card,"Americano - 2.2, Cappuccino -  3.0 , Americano - £2.2",97253637846279857
Sophie Dubois,01/05/2024,Richmond,Card,"Flat White - 2.75, Latte - £2.5, Latte - 2.5",50798933834259163
Leila Ahmed,01 May 2024 22:03,Richmond,Card,"Americano - 2.2, Latte -  2.5 , Espresso - £2.0",86910956657757871
Leila Ahmed,01-05-2024 14:28,Richmond,Cash,Mocha -  3.75 ,
Oliver Twist,1th May 2024,Richmond,Cash,Macchiato - £3.1,
Carlos Reyes,1th May 2024,Richmond,Card,Espresso - 2.0,24283193872016895
,01-05-2024 22:15,Richmond,Card,"Espresso - £2.0, Americano -  2.2 ",56217220393125148
Oliver Twist,01/05/2024,Richmond,Cash,"Cappuccino -  3.0 , Espresso - £2.0",
Nina Patel,2024/05/01 14:48,Richmond,Card,"Espresso - 2.0, Espresso - 2.0, Mocha - £3.75",97837861134614842
Maria Lopez,01/05/2024,Richmond,Cash,Macchiato -  3.1 ,
Anna Smith,1th May 2024,Richmond,Cash,"Cappuccino - £3.0, Flat White - 2.75, Espresso - 2.0",
Dave Johnson,2024/05/01 10:46,Richmond,Card,Macchiato - £3.1,96247961279830092
Sophie Dubois,01-05-2024 09:47,Richmond,Cash,"Espresso - 2.0, Espresso - £2.0, Cappuccino - £3.0",
Anna Smith,01/05/2024,Richmond,Cash,"Cappuccino - 3.0, Cappuccino - £3.0, Latte - £2.5",
Carlos Reyes,2024/05/01 07:56,Richmond,Card,"Americano - £2.2, Mocha - 3.75",96655291154605048
James Carter,01 May 2024 19:04,Richmond,Cash,Flat White - 2.75,
,1th May 2024,Richmond,Card,Invalid Order String,73611331135145748
Chinedu Okafor,01-05-2024 08:40,Richmond,,"Mocha -  3.75 , Flat White - £2.75, Latte -  2.5 ",
Oliver Twist,2024/05/01 10:04,Richmond,Card,Mocha - 3.75,77661237350437881
Chinedu Okafor,01/05/2024,Richmond,Cash,"Americano - 2.2, Americano -  2.2 , Latte -  2.5 ",
Chinedu Okafor,01 May 2024 17:53,Richmond,Cash,Americano - 2.2,
Leila Ahmed,01 May 2024 22:19,Richmond,Cash,"Mocha - 3.75, Macchiato - 3.1",
Nina Patel,1th May 2024,Richmond,Cash,Americano -  2.2 ,
Dave Johnson,01-05-2024 16:16,Richmond,Card,"Cappuccino - £3.0, Cappuccino - 3.0",15431411955830855
Carlos Reyes,1th May 2024,Richmond,,"Espresso - £2.0, Mocha -  3.75 ",
James Carter,01 May 2024 17:59,Richmond,Cash,Americano - 2.2,
Grace Kim,01 May 2024 19:01,Richmond,Card,"Flat White -  2.75 , Macchiato -  3.1 ",51575298749260429
Aisha Bello,2024/05/01 10:34,Richmond,Cash,Espresso - £2.0,
Maria Lopez,01 May 2024 08:48,Richmond,Card,Macchiato - £3.1,4351558224775348
Jake Thompson,2024/05/01 21:54,Richmond,Cash,"Latte -  2.5 , Cappuccino - 3.0, Macchiato -  3.1 ",
Grace Kim,01-05-2024 08:49,Richmond,Cash,"Americano - £2.2, Flat White -  2.75 ",
