Customer Name,Date/Time,Branch,Payment Type,Drinks Ordered,Card Number
Chen Wei,08-05-2024 20:49,Richmond,Card,Macchiato -  £3.1 ,13669414294085089
Nina Patel,08-05-2024 14:50,Richmond,Cash,"Cappuccino - £3.0, Mocha - 3.75, Macchiato -  3.1 ",99588492992020046
Nina Patel,08th May 2024,Richmond,Card,Mocha -  3.75 ,
Sophie Dubois,08/05/2024,Richmond,Cash,"Latte -  £2.5 , Espresso - £2.0, Latte -  £2.5 ",8.981339175991752e+16
Carlos Reyes,08 May 2024 15:31,Richmond,Card,Latte - £2.5,38593926833329138
Carlos Reyes,08 May 2024 10:37,Richmond,Cash,Flat White - £2.75,18230728427986470
Leila Ahmed,08-05-2024 12:58,Richmond,Card,"Flat White - 2.75, Macchiato -  3.1 , Macchiato - £3.1",
Fatima Yusuf,08-05-2024 17:17,Richmond,Card,"Americano -  2.2 , Cappuccino - £3.0",50003003124558350
James Carter,08-05-2024 17:52,Richmond,Cash,"Mocha -  £3.75 , Flat White -  2.75 ",61216642804479004
Chen Wei,08-05-2024 12:23,Richmond,Card,Flat White - 2.75,60057584151818562
,08-05-2024 18:47,Richmond,Cash,"Mocha -  3.75 , Macchiato - £3.1, Americano - £2.2",
Jake Thompson,08 May 2024 13:33,Richmond,Card,"Mocha - 3.75, Americano -  £2.2 ",
Fatima Yusuf,08th May 2024,Richmond,Card,Mocha -  £3.75 ,
Carlos Reyes,08th May 2024,Richmond,Cash,"Latte - £2.5, Mocha -  £3.75 , Cappuccino - 3.0",8633475325182218
Leila Ahmed,08-05-2024 11:12,Richmond,Card,"Latte - 2.5, Americano - £2.2",
Fatima Yusuf,08/05/2024,Richmond,Cash,"Macchiato -  £3.1 , Macchiato - 3.1",55549239783469644
Chinedu Okafor,08-05-2024 08:37,Richmond,Card,"Latte - £2.5, Americano -  £2.2 ",56426718312750600
Leila Ahmed,08-05-2024 13:21,Richmond,Card,"Americano - 2.2, Latte - £2.5, Latte -  2.5 ",
Sophie Dubois,2024/05/08 20:45,Richmond,Cash,"Latte - £2.5, Mocha -  £3.75 , Americano -  £2.2 ",19110190171913709
Maria Lopez,08/05/2024,Richmond,Cash,"Latte -  £2.5 , Cappuccino -  £3.0 , Cappuccino -  £3.0 ",12136347886128063
Carlos Reyes,2024/05/08 14:55,Richmond,Cash,"Espresso - £2.0, Latte -  2.5 , Mocha -  3.75 ",
James Carter,2024/05/08 14:32,Richmond,Card,Latte -  £2.5 ,
Aisha Bello,08/05/2024,Richmond,Card,"Mocha - 3.75, Mocha - £3.75, Latte - £2.5",
Grace Kim,08th May 2024,Richmond,Card,"Espresso - £2.0, Americano -  £2.2 ",96967155177093522
James Carter,08 May 2024 14:44,Richmond,Cash,"Americano -  £2.2 , Espresso -  £2.0 ",
,08/05/2024,Richmond,Card,"Flat White - 2.75, Latte -  £2.5 , Macchiato -  3.1 ",78405501569691926
Jake Thompson,08/05/2024,Richmond,Card,"Flat White -  £2.75 , Mocha -  £3.75 ",92258615891521937
Grace Kim,08th May 2024,Richmond,Cash,"Americano - £2.2, Espresso - 2.0, Macchiato - 3.1",6273856678071637
