Customer Name,Date/Time,Branch,Payment Type,Drinks Ordered,Card Number
Chinedu Okafor,2025/05/15 21:50,Camden,Cash,Americano - £2.2,
Nina Patel,2024/12/21 07:21,Camden,Card,Cappuccino -  3.0 ,8834813676065242.0
Nina Patel,08 Aug 2024 11:21,Camden,Card,"Macchiato - 3.1, Mocha - £3.75",24861175745391.0
Anna Smith,14 Jan 2025 07:24,Camden,Cash,"Flat White - 2.75, Flat White - £2.75",
Nina Patel,2025/06/06 07:16,Camden,Card,Mocha -  3.75 ,14751961035403.0
Nina Patel,10 Sep 2024 21:26,Camden,Cash,"Macchiato -  3.1 , Flat White - £2.75, Flat White - £2.75, Mocha - £3.75",
Carlos Reyes,2024/11/28 18:50,Camden,Cash,"Espresso - 2.0, Flat White - £2.75",
Sophie Dubois,2024/09/29 18:27,Camden,Cash,"Macchiato - £3.1, Espresso - 2.0",
Grace Kim,2024/09/13 14:14,Camden,Card,"Macchiato - £3.1, Mocha - £3.75, Flat White - £2.75, Cappuccino - £3.0",747664702635454.0
Chinedu Okafor,2024/08/30 08:00,Camden,Cash,Cappuccino - 3.0,
Jake Thompson,10-09-2024 15:55,Camden,Card,"Espresso - £2.0, Mocha - 3.75",6.403368362985434e+16
Jake Thompson,25 Aug 2024 02:11,Camden,Card,"Cappuccino - 3.0, Macchiato - £3.1, Cappuccino - £3.0, Americano - 2.2",44441157107837.0
James Carter,05-09-2024 21:04,Camden,Card,"Espresso - 2.0, Flat White -  2.75 ",6476100912533965.0
Nina Patel,2024/08/05 22:53,Camden,Card,Macchiato - £3.1,650721507228319.0
Anna Smith,11-02-2025 05:48,Camden,Card,Americano - £2.2,72310757475159.0
Dave Johnson,21-09-2024 08:19,Camden,Card,"Mocha -  3.75 , Espresso -  2.0 , Mocha - £3.75, Flat White - £2.75",2.183758898660982e+16
Anna Smith,20 Mar 2025 00:43,Camden,Cash,"Cappuccino - 3.0, Americano - £2.2, Flat White - £2.75",
Fatima Yusuf,05-04-2025 14:27,Camden,Card,"Macchiato - 3.1, Espresso - £2.0, Espresso -  2.0 , Latte - £2.5",5173961121170964.0
Aisha Bello,08-09-2024 19:13,Camden,Cash,"Espresso - 2.0, Espresso -  2.0 ",
Aisha Bello,03 Jun 2025 22:24,Camden,Cash,"Cappuccino - 3.0, Macchiato - 3.1, Americano -  2.2 , Flat White - £2.75",
Aisha Bello,2025/01/13 05:54,Camden,Card,"Americano - £2.2, Latte - 2.5, Macchiato - £3.1, Latte - 2.5",833384062806274.0
James Carter,2025/01/19 06:51,Camden,Cash,"Flat White - £2.75, Espresso - £2.0, Macchiato -  3.1 , Espresso - 2.0",
Dave Johnson,29-05-2025 02:07,Camden,Cash,"Flat White - 2.75, Latte -  2.5 , Mocha - £3.75, Latte - £2.5",
Jake Thompson,05-01-2025 11:52,Camden,Cash,"Americano -  2.2 , Latte - £2.5",
Oliver Twist,28 Jun 2025 06:29,Camden,Cash,"Mocha - 3.75, Cappuccino - £3.0, Flat White - 2.75, Espresso -  2.0 ",
Aisha Bello,29 Jan 2025 18:04,Camden,Cash,Espresso -  2.0 ,
Dave Johnson,08-11-2024 16:35,Camden,Cash,"Latte - £2.5, Mocha - 3.75, Mocha -  3.75 , Americano - £2.2",
Maria Lopez,20-03-2025 16:39,Camden,Card,Flat White - £2.75,6560471705949841.0
Jake Thompson,2024/10/09 02:30,Camden,Card,"Americano - £2.2, Cappuccino -  3.0 ",7.341374837895952e+16
Maria Lopez,2025/01/13 13:51,Camden,Card,"Cappuccino - 3.0, Americano - £2.2",1775483909919426.0
Maria Lopez,2024/12/11 02:21,Camden,Cash,"Flat White - £2.75, Mocha - £3.75, Cappuccino -  3.0 , Macchiato -  3.1 ",
Maria Lopez,14-09-2024 21:13,Camden,Cash,"Macchiato -  3.1 , Flat White - £2.75",
Chinedu Okafor,21 Nov 2024 02:03,Camden,Cash,"Cappuccino -  3.0 , Espresso - £2.0, Espresso -  2.0 ",
